iteration,average_reward,policy_loss,fdm_loss
1 , -70.826800 , 0.006953 , 0.302415
2 , -56.883590 , 0.023001 , 0.198868
3 , -82.598278 , 0.033403 , 0.025531
4 , -117.496381 , 0.029160 , 0.067610
5 , -53.288050 , 0.042785 , 0.027493
6 , -53.906417 , 0.047549 , 0.069678
7 , -27.447259 , 0.054631 , 0.023739
8 , -31.369956 , 0.040419 , 0.012881
9 , -33.097374 , 0.040005 , 0.025810
10 , -17.212583 , 0.047067 , 0.014688
11 , -14.414135 , 0.051276 , 0.012754
12 , -14.952416 , 0.052790 , 0.008349
13 , -13.454019 , 0.052918 , 0.007980
14 , -12.982272 , 0.050829 , 0.006947
15 , -16.708052 , 0.052734 , 0.024454
16 , -13.550964 , 0.031585 , 0.057995
