FDM train: iteration: 500, fdm_loss: 0.034097
FDM train: iteration: 1000, fdm_loss: 0.038908
FDM train: iteration: 1500, fdm_loss: 0.023412
FDM train: iteration: 2000, fdm_loss: 0.030535
FDM train: iteration: 2500, fdm_loss: 0.032919
FDM train: iteration: 3000, fdm_loss: 0.013037
FDM train: iteration: 3500, fdm_loss: 0.002995
FDM train: iteration: 4000, fdm_loss: 0.001581
FDM train: iteration: 4500, fdm_loss: 0.001509
FDM train: iteration: 5000, fdm_loss: 0.001547

episode_reward:  57.0
Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 16.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 15.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 1, average_reward: 15.555555555555555, policy_loss: 0.688671, fdm_loss: 0.005675


episode_reward:  50.0FDM train: iteration: 500, fdm_loss: 0.003264
FDM train: iteration: 1000, fdm_loss: 0.002023
FDM train: iteration: 1500, fdm_loss: 0.002684
FDM train: iteration: 2000, fdm_loss: 0.001657
FDM train: iteration: 2500, fdm_loss: 0.000923
FDM train: iteration: 3000, fdm_loss: 0.000521
FDM train: iteration: 3500, fdm_loss: 0.000529
FDM train: iteration: 4000, fdm_loss: 0.000316
FDM train: iteration: 4500, fdm_loss: 0.000372
FDM train: iteration: 5000, fdm_loss: 0.000382

Background Trial: 1, reward: 16.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 15.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 15.0
Background Trial: 8, reward: 17.0
Background Trial: 9, reward: 16.0
Iteration: 2, average_reward: 15.666666666666666, policy_loss: 0.827617, fdm_loss: 0.000364


episode_reward:  76.0
Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 16.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 16.0
Background Trial: 8, reward: 15.0
Background Trial: 9, reward: 16.0
Iteration: 3, average_reward: 15.444444444444445, policy_loss: 0.719403, fdm_loss: 0.000901


episode_reward:  55.0FDM train: iteration: 500, fdm_loss: 0.000681
FDM train: iteration: 1000, fdm_loss: 0.000512
FDM train: iteration: 1500, fdm_loss: 0.000429
FDM train: iteration: 2000, fdm_loss: 0.000713
FDM train: iteration: 2500, fdm_loss: 0.000303
FDM train: iteration: 3000, fdm_loss: 0.000793
FDM train: iteration: 3500, fdm_loss: 0.000383
FDM train: iteration: 4000, fdm_loss: 0.000246
FDM train: iteration: 4500, fdm_loss: 0.000487
FDM train: iteration: 5000, fdm_loss: 0.000303

Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 16.0
Background Trial: 3, reward: 16.0
Background Trial: 4, reward: 16.0
Background Trial: 5, reward: 16.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 17.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 4, average_reward: 15.88888888888889, policy_loss: 0.740428, fdm_loss: 0.000248


episode_reward:  93.0
Background Trial: 1, reward: 16.0
Background Trial: 2, reward: 16.0
Background Trial: 3, reward: 16.0
Background Trial: 4, reward: 15.0
Background Trial: 5, reward: 16.0
Background Trial: 6, reward: 16.0
Background Trial: 7, reward: 15.0
Background Trial: 8, reward: 16.0
Background Trial: 9, reward: 16.0
Iteration: 5, average_reward: 15.777777777777779, policy_loss: 0.648992, fdm_loss: 0.004441


episode_reward: 116.0FDM train: iteration: 500, fdm_loss: 0.002772
FDM train: iteration: 1000, fdm_loss: 0.001891
