Collecting dynamics training data 1000
Collecting dynamics training data 2000
Collecting dynamics training data 3000
Collecting dynamics training data 4000
Collecting dynamics training data 5000
Collecting dynamics training data 6000
Collecting dynamics training data 7000
Collecting dynamics training data 8000
Collecting dynamics training data 9000
Collecting dynamics training data 10000
Collecting dynamics training data 11000
Collecting dynamics training data 12000
Collecting dynamics training data 13000
Collecting dynamics training data 14000
Collecting dynamics training data 15000
Collecting dynamics training data 16000
Collecting dynamics training data 17000
Collecting dynamics training data 18000
Collecting dynamics training data 19000
Collecting dynamics training data 20000
FDM train: iteration: 500, fdm_loss: 0.040066
FDM train: iteration: 1000, fdm_loss: 0.023992
FDM train: iteration: 1500, fdm_loss: 0.023207
FDM train: iteration: 2000, fdm_loss: 0.017240
FDM train: iteration: 2500, fdm_loss: 0.017856
FDM train: iteration: 3000, fdm_loss: 0.029523
FDM train: iteration: 3500, fdm_loss: 0.009677
FDM train: iteration: 4000, fdm_loss: 0.013679
FDM train: iteration: 4500, fdm_loss: 0.010097
FDM train: iteration: 5000, fdm_loss: 0.012353
FDM train: iteration: 5500, fdm_loss: 0.018486
FDM train: iteration: 6000, fdm_loss: 0.018734
FDM train: iteration: 6500, fdm_loss: 0.010465
FDM train: iteration: 7000, fdm_loss: 0.005168
FDM train: iteration: 7500, fdm_loss: 0.013864
FDM train: iteration: 8000, fdm_loss: 0.015823
FDM train: iteration: 8500, fdm_loss: 0.011726
FDM train: iteration: 9000, fdm_loss: 0.031134
FDM train: iteration: 9500, fdm_loss: 0.012658
FDM train: iteration: 10000, fdm_loss: 0.013985
FDM train: iteration: 10500, fdm_loss: 0.011679
FDM train: iteration: 11000, fdm_loss: 0.016723
FDM train: iteration: 11500, fdm_loss: 0.008494
FDM train: iteration: 12000, fdm_loss: 0.010144
FDM train: iteration: 12500, fdm_loss: 0.010542
FDM train: iteration: 13000, fdm_loss: 0.014234
FDM train: iteration: 13500, fdm_loss: 0.012329
FDM train: iteration: 14000, fdm_loss: 0.014630
FDM train: iteration: 14500, fdm_loss: 0.010424
FDM train: iteration: 15000, fdm_loss: 0.007795
FDM train: iteration: 15500, fdm_loss: 0.012122
FDM train: iteration: 16000, fdm_loss: 0.012606
FDM train: iteration: 16500, fdm_loss: 0.019284
FDM train: iteration: 17000, fdm_loss: 0.014511
FDM train: iteration: 17500, fdm_loss: 0.009451
FDM train: iteration: 18000, fdm_loss: 0.008843
FDM train: iteration: 18500, fdm_loss: 0.011948
FDM train: iteration: 19000, fdm_loss: 0.021737
FDM train: iteration: 19500, fdm_loss: 0.014657
FDM train: iteration: 20000, fdm_loss: 0.009970

episode_reward: 271.4FDM train: iteration: 500, fdm_loss: 0.006225
FDM train: iteration: 1000, fdm_loss: 0.008980
FDM train: iteration: 1500, fdm_loss: 0.008247
FDM train: iteration: 2000, fdm_loss: 0.013976
FDM train: iteration: 2500, fdm_loss: 0.012310
FDM train: iteration: 3000, fdm_loss: 0.024488
FDM train: iteration: 3500, fdm_loss: 0.007647
FDM train: iteration: 4000, fdm_loss: 0.010559

Background Trial: 1, reward: -62.10767779933752
Background Trial: 2, reward: -274.186006530634
Background Trial: 3, reward: 22.777538950065406
Background Trial: 4, reward: -354.0465398211742
Background Trial: 5, reward: -139.7348400864343
Background Trial: 6, reward: -160.8086806349973
Background Trial: 7, reward: -300.21393270154726
Background Trial: 8, reward: -50.749256836815654
Background Trial: 9, reward: -288.66065440337707
Iteration: 1, average_reward: -178.6366722071391, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: 262.8FDM train: iteration: 500, fdm_loss: 0.011736
FDM train: iteration: 1000, fdm_loss: 0.020738
FDM train: iteration: 1500, fdm_loss: 0.010615
FDM train: iteration: 2000, fdm_loss: 0.010732
FDM train: iteration: 2500, fdm_loss: 0.018872
FDM train: iteration: 3000, fdm_loss: 0.009028
FDM train: iteration: 3500, fdm_loss: 0.016397
FDM train: iteration: 4000, fdm_loss: 0.010256

Background Trial: 1, reward: -83.92471124854949
Background Trial: 2, reward: -180.10987546417257
Background Trial: 3, reward: -76.2986791676483
Background Trial: 4, reward: -61.79439718392863
Background Trial: 5, reward: -393.32438999924415
Background Trial: 6, reward: -18.535634573960124
Background Trial: 7, reward: 6.392288746353515
Background Trial: 8, reward: -99.687775111652
Background Trial: 9, reward: -386.792035559085
Iteration: 2, average_reward: -143.7861343957652, policy_loss: 0.000000, fdm_loss: 0.000000


episode_reward: 268.6FDM train: iteration: 500, fdm_loss: 0.008481
FDM train: iteration: 1000, fdm_loss: 0.008436
FDM train: iteration: 1500, fdm_loss: 0.021928
FDM train: iteration: 2000, fdm_loss: 0.018470
FDM train: iteration: 2500, fdm_loss: 0.006481
