iteration,average_reward,policy_loss,fdm_loss
1 , -61.639984 , 0.012998 , 0.096005
2 , -18.320706 , 0.038007 , 0.225062
3 , -12.363075 , 0.042700 , 0.031320
4 , -9.825364 , 0.035164 , 0.056197
5 , -13.072488 , 0.032993 , 0.023071
6 , -7.550443 , 0.040687 , 0.025304
7 , -11.457114 , 0.041483 , 0.062981
8 , -8.915192 , 0.038873 , 0.025304
9 , -10.002451 , 0.041160 , 0.049216
10 , -9.735254 , 0.043587 , 0.018678
11 , -8.753174 , 0.043751 , 0.007620
12 , -10.119490 , 0.045060 , 0.011423
13 , -11.615573 , 0.048735 , 0.005280
14 , -7.567840 , 0.042541 , 0.022730
15 , -9.036355 , 0.043787 , 0.215693
16 , -10.133770 , 0.051366 , 0.041311
17 , -8.151817 , 0.045590 , 0.002742
18 , -8.204294 , 0.053162 , 0.005823
19 , -8.522928 , 0.050185 , 0.007803
20 , -8.984344 , 0.065087 , 0.008267
21 , -9.909380 , 0.074430 , 0.006632
22 , -8.023536 , 0.066645 , 0.005461
23 , -9.332978 , 0.064630 , 0.004998
24 , -8.018259 , 0.047912 , 0.001206
25 , -12.635588 , 0.046126 , 0.004570
26 , -10.858824 , 0.049655 , 0.005097
27 , -8.832062 , 0.054310 , 0.006855
28 , -589.216669 , 0.042489 , 0.007596
29 , -9.914093 , 0.049542 , 0.075633
30 , -639.479065 , 0.049524 , 0.013860
31 , -136.764382 , 0.049009 , 0.029575
32 , -260.611284 , 0.061003 , 0.012898
33 , -604.901803 , 0.059112 , 0.021396
34 , -11.088632 , 0.039602 , 0.004951
35 , -9.603244 , 0.041639 , 0.005118
36 , -9.417901 , 0.034268 , 0.106275
37 , -7.924693 , 0.039549 , 0.005463
38 , -8.259125 , 0.035976 , 0.007342
39 , -8.526515 , 0.037142 , 0.006849
40 , -7.624871 , 0.042146 , 0.018329
41 , -7.759374 , 0.040876 , 0.003929
42 , -7.916918 , 0.042332 , 0.028542
43 , -7.751259 , 0.040197 , 0.023318
44 , -7.949054 , 0.036338 , 0.004397
45 , -8.642360 , 0.034545 , 0.004873
46 , -7.861043 , 0.035893 , 0.012054
47 , -8.267506 , 0.032525 , 0.006616
48 , -8.443591 , 0.032372 , 0.039487
49 , -8.061114 , 0.032808 , 0.013563
50 , -8.002946 , 0.031317 , 0.000920
