iteration,average_reward
1 , 15.666667
2 , 16.000000
3 , 15.888889
4 , 15.555556
5 , 16.222222
6 , 15.888889
7 , 15.888889
8 , 15.777778
9 , 15.666667
10 , 16.111111
11 , 16.000000
12 , 15.888889
13 , 15.888889
14 , 15.777778
15 , 15.888889
16 , 15.555556
17 , 15.666667
18 , 16.333333
19 , 15.666667
20 , 15.666667
21 , 23.333333
22 , 84.111111
23 , 80.333333
24 , 67.555556
25 , 52.333333
26 , 116.888889
27 , 115.888889
28 , 125.888889
29 , 191.000000
30 , 119.777778
31 , 90.555556
32 , 168.111111
33 , 152.888889
34 , 144.222222
35 , 179.666667
36 , 147.777778
37 , 124.111111
38 , 124.444444
39 , 184.111111
40 , 89.555556
41 , 161.777778
42 , 197.333333
43 , 186.333333
44 , 199.888889
45 , 181.666667
46 , 185.555556
47 , 194.666667
48 , 195.777778
49 , 200.000000
50 , 199.666667
