iteration,average_reward,policy_loss,fdm_loss
1 , 16.000000 , 0.694547 , 0.003302
2 , 16.888889 , 0.692413 , 0.000315
3 , 15.888889 , 0.683166 , 0.000245
4 , 69.000000 , 0.691581 , 0.000676
5 , 64.111111 , 0.681449 , 0.000993
6 , 200.000000 , 0.744753 , 0.000335
7 , 200.000000 , 0.679006 , 0.000403
8 , 200.000000 , 0.685979 , 0.000279
9 , 200.000000 , 0.708215 , 0.000106
10 , 200.000000 , 0.756516 , 0.000104
11 , 200.000000 , 0.770956 , 0.000267
12 , 200.000000 , 0.675945 , 0.000017
13 , 200.000000 , 0.657044 , 0.000020
14 , 200.000000 , 0.681638 , 0.000024
15 , 200.000000 , 0.657423 , 0.000016
16 , 200.000000 , 0.724801 , 0.000020
17 , 200.000000 , 0.810054 , 0.000021
18 , 200.000000 , 0.631794 , 0.000022
19 , 200.000000 , 0.813952 , 0.000024
20 , 200.000000 , 0.668699 , 0.000022
21 , 200.000000 , 0.643423 , 0.000022
22 , 200.000000 , 0.779599 , 0.000024
23 , 200.000000 , 0.745458 , 0.000023
24 , 200.000000 , 0.625670 , 0.000020
25 , 200.000000 , 0.559577 , 0.000020
26 , 200.000000 , 0.735367 , 0.000023
27 , 200.000000 , 0.565122 , 0.000020
28 , 200.000000 , 0.866854 , 0.000025
29 , 200.000000 , 0.751170 , 0.000023
30 , 200.000000 , 0.582983 , 0.000017
31 , 200.000000 , 0.800876 , 0.000019
32 , 200.000000 , 0.758920 , 0.000025
33 , 200.000000 , 0.751299 , 0.000024
34 , 200.000000 , 0.649576 , 0.000023
35 , 200.000000 , 0.613371 , 0.000023
36 , 200.000000 , 0.769320 , 0.000019
37 , 200.000000 , 0.639288 , 0.000023
38 , 200.000000 , 0.791983 , 0.000015
39 , 200.000000 , 0.832948 , 0.000024
40 , 200.000000 , 0.639926 , 0.000018
41 , 200.000000 , 0.703059 , 0.000016
42 , 200.000000 , 0.691155 , 0.000022
43 , 200.000000 , 0.906228 , 0.000028
44 , 200.000000 , 0.633673 , 0.000021
45 , 200.000000 , 0.734692 , 0.000019
46 , 200.000000 , 0.778254 , 0.000017
47 , 200.000000 , 0.612629 , 0.000019
48 , 200.000000 , 0.807069 , 0.000020
49 , 200.000000 , 0.769959 , 0.000025
50 , 200.000000 , 0.654266 , 0.000021
