iteration,average_reward,policy_loss,fdm_loss
1 , 16.000000 , 0.966495 , 0.094890
2 , 16.333333 , 0.723265 , 0.000319
3 , 25.000000 , 0.737435 , 0.000442
4 , 40.222222 , 0.750986 , 0.000941
5 , 43.222222 , 0.605331 , 0.000466
6 , 16.222222 , 0.668183 , 0.000377
7 , 16.555556 , 0.971541 , 0.000531
8 , 17.666667 , 1.038153 , 0.000219
9 , 19.888889 , 1.031279 , 0.000365
10 , 33.777778 , 0.966363 , 0.000421
11 , 42.000000 , 1.012321 , 0.000480
12 , 51.333333 , 0.827253 , 0.000209
13 , 43.000000 , 0.864969 , 0.000272
14 , 60.333333 , 0.604296 , 0.000375
15 , 51.333333 , 0.631171 , 0.000236
16 , 198.666667 , 0.657597 , 0.000178
17 , 200.000000 , 0.800769 , 0.002114
18 , 149.888889 , 0.737828 , 0.000449
19 , 66.444444 , 0.643973 , 0.000804
20 , 46.555556 , 0.794295 , 0.000472
21 , 103.555556 , 0.654715 , 0.001444
22 , 200.000000 , 0.645103 , 0.005384
23 , 200.000000 , 0.661821 , 0.001101
24 , 200.000000 , 0.610497 , 0.001927
