iteration,reward,feedback_rate(/sec)
1 , -10.377383 , 0.597860
2 , -16.049991 , 0.878244
3 , -13.206607 , 0.558720
4 , -6.661705 , 0.199895
5 , -7.797151 , 0.319636
6 , -9.446175 , 0.439199
7 , -8.455630 , 0.359590
8 , -11.634710 , 0.199198
9 , -10.570800 , 0.199844
10 , -15.052152 , 0.000000
11 , -8.303204 , 0.439335
12 , -5.944974 , 0.039860
13 , -7.903278 , 0.079693
14 , -8.166498 , 0.079696
15 , -11.030792 , 0.239750
16 , -8.191758 , 0.319005
17 , -3.920487 , 0.000000
18 , -12.347673 , 0.039869
19 , -9.493408 , 0.000000
20 , -8.678215 , 0.119585
21 , -11.759252 , 0.239941
22 , -8.119358 , 0.000000
23 , -11.186197 , 0.000000
24 , -10.085928 , 0.000000
25 , -12.651425 , 0.079712
26 , -9.565708 , 0.000000
27 , -10.743412 , 0.000000
28 , -10.230426 , 0.119508
29 , -8.036876 , 0.000000
30 , -9.559427 , 0.079726
31 , -7.718824 , 0.000000
32 , -11.420199 , 0.199848
33 , -8.968688 , 0.000000
34 , -8.887536 , 0.000000
35 , -9.400712 , 0.000000
36 , -9.836658 , 0.000000
37 , -11.498913 , 0.039852
38 , -9.683831 , 0.000000
39 , -10.067328 , 0.000000
40 , -11.486176 , 0.039848
41 , -12.317586 , 0.039871
42 , -9.945568 , 0.039858
43 , -11.793660 , 0.279821
44 , -8.485112 , 0.000000
45 , -12.601042 , 0.039883
46 , -8.558550 , 0.000000
47 , -12.054020 , 0.239813
48 , -8.442786 , 0.279784
49 , -4.997264 , 0.000000
50 , -8.644276 , 0.000000
