iteration,reward,feedback_rate(/sec)
1 , -14.715782 , 0.863559
2 , -49.024839 , 1.060152
3 , -21.689412 , 0.993884
4 , -13.149309 , 0.198785
5 , -11.268528 , 0.530087
6 , -8.919641 , 0.861367
7 , -22.453086 , 0.960907
8 , -16.968807 , 0.662514
9 , -14.032321 , 0.331245
10 , -14.376599 , 0.430808
11 , -19.600019 , 0.596387
12 , -11.798804 , 0.165623
13 , -18.932630 , 0.000000
14 , -19.917006 , 0.663955
15 , -11.481368 , 0.801653
16 , -10.901941 , 0.694873
17 , -13.674704 , 0.264962
18 , 0.000000 , 0.000000
19 , -9.593489 , 0.516312
20 , -9.616583 , 0.474057
21 , -7.075583 , 0.000000
22 , -7.373769 , 0.000000
23 , -15.358900 , 0.542227
24 , -3.910733 , 0.000000
25 , -11.283610 , 0.854629
26 , -13.176365 , 0.437937
27 , -9.195940 , 0.748700
28 , -6.242523 , 0.000000
29 , -4.829037 , 0.000000
30 , -8.017826 , 0.650452
31 , -6.336391 , 0.000000
32 , -6.725143 , 0.000000
33 , -11.389976 , 0.552433
34 , -11.250055 , 0.038783
35 , -10.099489 , 1.020759
36 , -10.452264 , 0.403540
37 , -10.543844 , 1.327947
38 , -3.780139 , 0.000000
39 , -7.157447 , 0.220773
40 , -10.808792 , 0.901777
41 , -11.894390 , 0.000000
42 , -15.105621 , 0.603090
43 , -7.509804 , 0.000000
44 , -13.716790 , 1.085863
45 , -3.799348 , 0.000000
46 , -10.598498 , 0.570876
47 , -11.521273 , 0.869128
48 , -7.699813 , 1.253275
49 , -6.336613 , 1.364441
50 , -5.454043 , 0.568810
