
Iteration: 1, reward: -14.71578200692666, feedback_rate(/sec): 0.863559183864


Iteration: 2, reward: -49.02483903295481, feedback_rate(/sec): 1.0601522078


Iteration: 3, reward: -21.68941167648644, feedback_rate(/sec): 0.993883706057


Iteration: 4, reward: -13.149308612996062, feedback_rate(/sec): 0.198785480625


Iteration: 5, reward: -11.268528092677078, feedback_rate(/sec): 0.530087132523


Iteration: 6, reward: -8.919641165797453, feedback_rate(/sec): 0.861367218904


Iteration: 7, reward: -22.4530863979571, feedback_rate(/sec): 0.960907345016


Iteration: 8, reward: -16.968807225745085, feedback_rate(/sec): 0.662514399838


Iteration: 9, reward: -14.032320805312839, feedback_rate(/sec): 0.331244702809


Iteration: 10, reward: -14.376598928769349, feedback_rate(/sec): 0.430807693158


Iteration: 11, reward: -19.600019350142365, feedback_rate(/sec): 0.596386770482


Iteration: 12, reward: -11.798804087301866, feedback_rate(/sec): 0.165622983171


Iteration: 13, reward: -18.93263023974639, feedback_rate(/sec): 0.0


Iteration: 14, reward: -19.917005853369357, feedback_rate(/sec): 0.663954528268


Iteration: 15, reward: -11.481367574820004, feedback_rate(/sec): 0.801653093761


Iteration: 16, reward: -10.901941407345726, feedback_rate(/sec): 0.694873155435


Iteration: 17, reward: -13.674704499395917, feedback_rate(/sec): 0.264961576565


Iteration: 18, reward: 0, feedback_rate(/sec): 0.0


Iteration: 19, reward: -9.593489074435805, feedback_rate(/sec): 0.51631196437


Iteration: 20, reward: -9.616583338275746, feedback_rate(/sec): 0.474057088657


Iteration: 21, reward: -7.0755831933194955, feedback_rate(/sec): 0.0


Iteration: 22, reward: -7.373768681392866, feedback_rate(/sec): 0.0


Iteration: 23, reward: -15.358899885468428, feedback_rate(/sec): 0.542226978035


Iteration: 24, reward: -3.9107329261132375, feedback_rate(/sec): 0.0


Iteration: 25, reward: -11.283609709703677, feedback_rate(/sec): 0.854628721273


Iteration: 26, reward: -13.176365215920455, feedback_rate(/sec): 0.437936678093


Iteration: 27, reward: -9.195939577149938, feedback_rate(/sec): 0.748699535487


Iteration: 28, reward: -6.2425229147149155, feedback_rate(/sec): 0.0


Iteration: 29, reward: -4.829037103871255, feedback_rate(/sec): 0.0


Iteration: 30, reward: -8.017825924195458, feedback_rate(/sec): 0.650452437989


Iteration: 31, reward: -6.3363909098291975, feedback_rate(/sec): 0.0


Iteration: 32, reward: -6.725143282747636, feedback_rate(/sec): 0.0


Iteration: 33, reward: -11.38997636047808, feedback_rate(/sec): 0.552433384716


Iteration: 34, reward: -11.250055042266261, feedback_rate(/sec): 0.0387829594738


Iteration: 35, reward: -10.099489129305564, feedback_rate(/sec): 1.02075916442


Iteration: 36, reward: -10.452264217356612, feedback_rate(/sec): 0.403540484944


Iteration: 37, reward: -10.543844063740561, feedback_rate(/sec): 1.32794686856


Iteration: 38, reward: -3.7801388471519144, feedback_rate(/sec): 0.0


Iteration: 39, reward: -7.157446555892256, feedback_rate(/sec): 0.220773339167


Iteration: 40, reward: -10.808791983299752, feedback_rate(/sec): 0.901776870476


Iteration: 41, reward: -11.89438996734603, feedback_rate(/sec): 0.0


Iteration: 42, reward: -15.105620807250158, feedback_rate(/sec): 0.60309017457


Iteration: 43, reward: -7.509804461180754, feedback_rate(/sec): 0.0


Iteration: 44, reward: -13.716790193305258, feedback_rate(/sec): 1.08586303305


Iteration: 45, reward: -3.799348361525579, feedback_rate(/sec): 0.0


Iteration: 46, reward: -10.598497713487737, feedback_rate(/sec): 0.570875673058


Iteration: 47, reward: -11.521272714225523, feedback_rate(/sec): 0.869127567034


Iteration: 48, reward: -7.699812699509527, feedback_rate(/sec): 1.25327496694


Iteration: 49, reward: -6.336612840854421, feedback_rate(/sec): 1.36444090693


Iteration: 50, reward: -5.454042640779045, feedback_rate(/sec): 0.56881042749

