iteration,reward,feedback_rate(/sec)
1 , -12.354088 , 0.120543
2 , -20.007760 , 1.443354
3 , -10.367556 , 2.599877
4 , -8.671521 , 0.599459
5 , -31.720266 , 1.556595
6 , -19.904021 , 2.179478
7 , -24.943750 , 0.107374
8 , -26.198105 , 1.661862
9 , -9.818314 , 0.268430
10 , -9.168593 , 1.202294
11 , -7.077178 , 0.900753
12 , -16.047280 , 1.516810
13 , -7.470181 , 1.217611
14 , -9.508358 , 0.985654
15 , -9.805818 , 1.475280
16 , -12.845102 , 1.361596
17 , -8.467972 , 2.589120
18 , -10.098545 , 1.363013
19 , -6.496378 , 0.722671
20 , -3.921861 , 0.229839
21 , -5.614271 , 1.320144
22 , -15.300792 , 0.338806
23 , -8.727539 , 0.627476
24 , -9.545280 , 0.228540
25 , -4.760285 , 0.000000
26 , -10.770795 , 0.467420
27 , -13.587463 , 0.820932
28 , -11.728150 , 1.592419
29 , -9.854979 , 0.558215
30 , -9.169937 , 0.970843
31 , -13.208998 , 1.686971
32 , -11.676864 , 2.200166
33 , -12.747528 , 2.155747
34 , -7.510779 , 0.279437
35 , -7.226734 , 0.618440
36 , -9.998801 , 0.828493
37 , -12.927340 , 1.062352
38 , -11.178336 , 0.847441
39 , -7.715657 , 0.443780
40 , -9.604015 , 0.473171
41 , -12.631401 , 0.274909
42 , -8.843582 , 0.198787
43 , -6.260945 , 0.000000
44 , -9.698131 , 0.000000
45 , -18.985075 , 0.366853
46 , -8.227277 , 0.569127
47 , -8.118413 , 0.509135
48 , -12.929101 , 0.657496
49 , -10.385421 , 0.511322
50 , -7.077490 , 0.347609
51 , -7.772011 , 0.366936
52 , -13.243578 , 0.989690
53 , -6.638496 , 0.310037
54 , -13.481609 , 0.139118
55 , -7.908888 , 0.248157
56 , -7.664354 , 0.336552
57 , -10.165718 , 0.478820
58 , -6.866305 , 0.418937
59 , -13.672234 , 1.129537
60 , -11.177508 , 0.000000
61 , -7.580172 , 0.000000
62 , -10.833970 , 0.444824
63 , -12.239812 , 0.451935
64 , -9.356980 , 0.000000
65 , -42.932674 , 0.120284
66 , -9.222066 , 0.309580
67 , -13.119068 , 0.390038
68 , -15.883003 , 0.522909
69 , -13.625201 , 0.261018
70 , -46.012386 , 1.165370
71 , -16.963536 , 1.507407
72 , -8.764778 , 0.530555
73 , -15.959946 , 0.304417
74 , -9.949685 , 0.323851
75 , -12.839087 , 1.213767
76 , -9.820008 , 0.941191
77 , -13.594095 , 0.419715
78 , -14.097566 , 0.703556
79 , -19.342127 , 0.660606
80 , -32.479071 , 1.530838
81 , -16.216119 , 1.389784
82 , -10.060450 , 2.307759
83 , -7.979310 , 0.721861
84 , -5.800751 , 0.000000
85 , -19.828432 , 0.338595
86 , -11.746255 , 1.115772
87 , -26.257524 , 2.126315
88 , -12.126761 , 2.425451
89 , -11.821079 , 0.376562
90 , -10.285960 , 0.437405
91 , -29.213144 , 1.422676
92 , -5.318407 , 0.594304
93 , -15.227364 , 1.179770
94 , -6.787611 , 0.265610
95 , -5.860279 , 0.000000
96 , -11.260136 , 0.743586
97 , -10.716762 , 1.123430
98 , -6.841434 , 0.000000
99 , -11.240443 , 3.276269
100 , -14.802306 , 0.094690
101 , -7.541900 , 0.170818
102 , -14.126230 , 0.218449
103 , -15.313574 , 0.422347
104 , -9.867963 , 0.402617
105 , -7.110590 , 0.000000
106 , -11.982009 , 1.045634
107 , -10.613432 , 0.000000
108 , -20.670987 , 0.412805
109 , -12.914036 , 0.000000
110 , -11.345363 , 0.447058
111 , -11.158156 , 0.660454
112 , -26.802890 , 1.354403
113 , -17.825755 , 1.222055
114 , -9.507926 , 1.371311
115 , -17.544924 , 2.877865
116 , -7.141393 , 0.789520
117 , -11.674840 , 1.154846
118 , -12.416984 , 0.330955
119 , -8.667942 , 0.000000
120 , -20.803690 , 0.000000
121 , -17.427897 , 0.885851
122 , -29.255132 , 0.000000
123 , -9.736410 , 0.124024
124 , -6.875780 , 0.000000
125 , -8.782684 , 0.193841
126 , -10.131505 , 0.000000
127 , -13.316461 , 0.381788
128 , -20.078159 , 0.218633
129 , -21.874186 , 0.838439
130 , -5.864510 , 0.296480
131 , -0.268632 , 0.000000
132 , -3.947456 , 0.000000
133 , -3.404108 , 0.000000
134 , -7.463820 , 0.000000
135 , -13.101739 , 1.405977
136 , -4.622732 , 0.430175
137 , -8.212101 , 0.388267
138 , -14.314790 , 0.605564
139 , -6.167287 , 0.776479
140 , -9.044456 , 0.643518
141 , -5.282187 , 0.281144
142 , -6.595564 , 0.775055
143 , -15.138621 , 0.521223
144 , -7.837605 , 1.151344
145 , -11.631765 , 0.000000
146 , -9.672927 , 0.371567
147 , -9.109337 , 0.799840
148 , -11.503561 , 0.629555
149 , -11.449712 , 0.031455
150 , -14.882644 , 0.325286
