
Iteration: 1, reward: -12.354087744590018, feedback_rate(/sec): 0.120542607042


Iteration: 2, reward: -20.00776032430194, feedback_rate(/sec): 1.44335357423


Iteration: 3, reward: -10.367556029074162, feedback_rate(/sec): 2.59987714999


Iteration: 4, reward: -8.671521023861468, feedback_rate(/sec): 0.599458623437


Iteration: 5, reward: -31.720266149729323, feedback_rate(/sec): 1.55659489177


Iteration: 6, reward: -19.904020837764506, feedback_rate(/sec): 2.17947756374


Iteration: 7, reward: -24.943750216855655, feedback_rate(/sec): 0.107373593706


Iteration: 8, reward: -26.19810522669333, feedback_rate(/sec): 1.66186215859


Iteration: 9, reward: -9.818313628085065, feedback_rate(/sec): 0.268430050177


Iteration: 10, reward: -9.168593360371018, feedback_rate(/sec): 1.20229355127


Iteration: 11, reward: -7.077178118822604, feedback_rate(/sec): 0.900753413592


Iteration: 12, reward: -16.04728045401686, feedback_rate(/sec): 1.51680983219


Iteration: 13, reward: -7.47018129589303, feedback_rate(/sec): 1.21761129372


Iteration: 14, reward: -9.508358181961245, feedback_rate(/sec): 0.985653965868


Iteration: 15, reward: -9.80581766557088, feedback_rate(/sec): 1.47527984003


Iteration: 16, reward: -12.845101884245256, feedback_rate(/sec): 1.36159633977


Iteration: 17, reward: -8.467972134053744, feedback_rate(/sec): 2.58912049433


Iteration: 18, reward: -10.09854469751401, feedback_rate(/sec): 1.36301317167


Iteration: 19, reward: -6.496377633656327, feedback_rate(/sec): 0.722671132483


Iteration: 20, reward: -3.921861424232423, feedback_rate(/sec): 0.229839410119


Iteration: 21, reward: -5.614271381337183, feedback_rate(/sec): 1.32014409616


Iteration: 22, reward: -15.300792292391852, feedback_rate(/sec): 0.338806292778


Iteration: 23, reward: -8.727539395362514, feedback_rate(/sec): 0.627476277797


Iteration: 24, reward: -9.545280285407504, feedback_rate(/sec): 0.228539956203


Iteration: 25, reward: -4.76028499255146, feedback_rate(/sec): 0.0


Iteration: 26, reward: -10.770795450769645, feedback_rate(/sec): 0.46741962503


Iteration: 27, reward: -13.587462977552386, feedback_rate(/sec): 0.82093239182


Iteration: 28, reward: -11.728150230216922, feedback_rate(/sec): 1.59241860185


Iteration: 29, reward: -9.854978969570979, feedback_rate(/sec): 0.558214653885


Iteration: 30, reward: -9.169936663169803, feedback_rate(/sec): 0.970843190808


Iteration: 31, reward: -13.208997917329523, feedback_rate(/sec): 1.68697124728


Iteration: 32, reward: -11.676864188848661, feedback_rate(/sec): 2.20016551535


Iteration: 33, reward: -12.747528091460605, feedback_rate(/sec): 2.15574747647


Iteration: 34, reward: -7.510779245272593, feedback_rate(/sec): 0.279436658153


Iteration: 35, reward: -7.226734075101319, feedback_rate(/sec): 0.618440001587


Iteration: 36, reward: -9.998800985710814, feedback_rate(/sec): 0.828493038121


Iteration: 37, reward: -12.927340183407932, feedback_rate(/sec): 1.06235219183


Iteration: 38, reward: -11.178335871665652, feedback_rate(/sec): 0.847440783549


Iteration: 39, reward: -7.715656639678163, feedback_rate(/sec): 0.443779704845


