iteration,reward,feedback_rate(/sec)
1 , -31.408014 , 0.843016
2 , -63.013624 , 2.637713
3 , -37.265988 , 3.393717
4 , -26.464691 , 2.732434
5 , -50.361429 , 2.445912
6 , -15.500501 , 4.244616
7 , -102.694360 , 2.192753
8 , -27.686929 , 3.540040
9 , -43.316490 , 1.870396
10 , -35.240648 , 5.140348
11 , -173.583489 , 3.057551
12 , -9.422708 , 0.361305
13 , -50.982838 , 0.076681
14 , -32.518802 , 1.529523
15 , -9.938455 , 0.522798
16 , -39.526779 , 1.637977
17 , -18.413519 , 0.431402
18 , -32.013046 , 1.728024
19 , -15.574101 , 1.692046
20 , -11.550803 , 0.211743
21 , -11.242423 , 0.321023
22 , -44.024159 , 0.684030
23 , -15.123712 , 0.380870
24 , -15.501089 , 1.722266
25 , -60.234936 , 0.756144
26 , -12.562175 , 0.267088
27 , -22.953965 , 1.878410
28 , -21.173844 , 1.963980
29 , -21.004470 , 2.192244
30 , -8.233339 , 0.000000
31 , -14.036224 , 2.509887
32 , -11.202288 , 0.576183
33 , -14.622609 , 2.447296
34 , -9.427492 , 0.170917
35 , -8.849289 , 0.228490
36 , -8.596915 , 0.108985
37 , -76.658126 , 0.134075
38 , -7.859444 , 0.000000
39 , -12.532619 , 0.829166
40 , -7.796192 , 1.124333
41 , -10.107586 , 0.273400
42 , -105.493662 , 1.022876
43 , -6.579485 , 0.354819
44 , -10.769813 , 0.591060
45 , -14.529938 , 2.118500
46 , -7.249042 , 0.141603
47 , -7.882393 , 0.521897
48 , -9.982077 , 0.715420
49 , -6.225911 , 0.164946
50 , -19.835266 , 1.522004
51 , -8.357474 , 0.000000
52 , -8.115380 , 0.000000
53 , -14.371553 , 0.248336
54 , -8.789497 , 0.000000
55 , -6.837418 , 0.000000
56 , -7.007153 , 0.000000
57 , -25.480794 , 0.387767
58 , -9.878069 , 0.973189
59 , -16.162543 , 0.642285
60 , -4.311970 , 0.110194
61 , -9.465834 , 0.467010
62 , -13.707992 , 0.622136
63 , -7.695297 , 0.711087
64 , -3.637871 , 0.157153
65 , -17.263910 , 0.615692
66 , -4.270341 , 0.438965
67 , -13.953033 , 0.939594
68 , -5.861078 , 0.571343
69 , -13.969982 , 0.413780
70 , -19.409607 , 0.284840
71 , -38.561389 , 0.470677
72 , -10.648671 , 0.528670
73 , -50.157553 , 0.120601
74 , -6.270057 , 0.000000
75 , -5.496377 , 0.214948
76 , -4.814820 , 0.387816
77 , -7.203156 , 0.634568
78 , -5.705930 , 0.182638
79 , -8.652153 , 0.482740
80 , -8.384260 , 0.651766
81 , -16.780083 , 0.640478
82 , -15.557786 , 0.403687
83 , -26.094159 , 2.623992
84 , -37.064941 , 0.159899
85 , -11.354224 , 0.061103
86 , -24.958328 , 0.406423
87 , -31.592348 , 1.573159
88 , -18.534427 , 0.462465
89 , -10.589626 , 0.192973
90 , -160.862933 , 0.937208
91 , -8.979992 , 0.000000
92 , -9.332280 , 0.295566
93 , -9.382377 , 0.552687
94 , -12.149252 , 0.798122
95 , -4.022547 , 0.000000
96 , -17.758353 , 0.741960
97 , -13.534094 , 0.693783
98 , -4.619502 , 0.314000
99 , -4.489616 , 0.630857
100 , -13.154331 , 0.930202
