
Iteration: 1, reward: -31.40801426771983, feedback_rate(/sec): 0.843015693167


Iteration: 2, reward: -63.01362353743996, feedback_rate(/sec): 2.63771260036


Iteration: 3, reward: -37.26598782417538, feedback_rate(/sec): 3.39371661287


Iteration: 4, reward: -26.464691269293308, feedback_rate(/sec): 2.73243407287


Iteration: 5, reward: -50.36142946349175, feedback_rate(/sec): 2.44591223972


Iteration: 6, reward: -15.500500857860724, feedback_rate(/sec): 4.24461605968


Iteration: 7, reward: -102.6943602019232, feedback_rate(/sec): 2.19275345939


Iteration: 8, reward: -27.686929079593874, feedback_rate(/sec): 3.54004020822


Iteration: 9, reward: -43.31648952936056, feedback_rate(/sec): 1.87039602839


Iteration: 10, reward: -35.24064751157701, feedback_rate(/sec): 5.14034755308


Iteration: 11, reward: -173.58348914194883, feedback_rate(/sec): 3.0575511628


Iteration: 12, reward: -9.422708296952518, feedback_rate(/sec): 0.361304569866


Iteration: 13, reward: -50.98283800544112, feedback_rate(/sec): 0.0766810306727


Iteration: 14, reward: -32.51880209745283, feedback_rate(/sec): 1.52952274989


Iteration: 15, reward: -9.93845519319232, feedback_rate(/sec): 0.522797819274


Iteration: 16, reward: -39.526778543896135, feedback_rate(/sec): 1.63797653234


Iteration: 17, reward: -18.41351921118099, feedback_rate(/sec): 0.431401691485


Iteration: 18, reward: -32.013045736133144, feedback_rate(/sec): 1.72802432377


Iteration: 19, reward: -15.574100740181818, feedback_rate(/sec): 1.69204569745


Iteration: 20, reward: -11.550803269656733, feedback_rate(/sec): 0.211742728379


Iteration: 21, reward: -11.24242274879814, feedback_rate(/sec): 0.321022550334


Iteration: 22, reward: -44.02415901242402, feedback_rate(/sec): 0.68402992993


Iteration: 23, reward: -15.123711831814175, feedback_rate(/sec): 0.380870205364


Iteration: 24, reward: -15.501088847295527, feedback_rate(/sec): 1.72226644701


Iteration: 25, reward: -60.23493589216522, feedback_rate(/sec): 0.756143564316


Iteration: 26, reward: -12.562175375813613, feedback_rate(/sec): 0.267087705796


Iteration: 27, reward: -22.95396483581314, feedback_rate(/sec): 1.87840984896


Iteration: 28, reward: -21.17384401622689, feedback_rate(/sec): 1.96397953156


Iteration: 29, reward: -21.00446980681273, feedback_rate(/sec): 2.19224417855


Iteration: 30, reward: -8.233338568114151, feedback_rate(/sec): 0.0


Iteration: 31, reward: -14.036223960509863, feedback_rate(/sec): 2.50988716841


Iteration: 32, reward: -11.202288033239961, feedback_rate(/sec): 0.576183065781


Iteration: 33, reward: -14.622608713817268, feedback_rate(/sec): 2.44729642969


Iteration: 34, reward: -9.427492170301077, feedback_rate(/sec): 0.170916713033


Iteration: 35, reward: -8.849288559732166, feedback_rate(/sec): 0.228489900991


Iteration: 36, reward: -8.596914880842737, feedback_rate(/sec): 0.108985303953


Iteration: 37, reward: -76.65812552811536, feedback_rate(/sec): 0.134074767217


Iteration: 38, reward: -7.8594441517204086, feedback_rate(/sec): 0.0


Iteration: 39, reward: -12.532619341086889, feedback_rate(/sec): 0.82916631641


