iteration,reward,feedback_rate(/sec)
1 , -23.850436 , 0.617963
2 , -15.822554 , 1.302459
3 , -9.530401 , 0.923165
4 , -12.535052 , 0.936694
5 , -12.835754 , 0.614685
6 , -9.238007 , 1.105439
7 , -7.829079 , 1.115682
8 , -8.910412 , 1.177950
9 , -3.447141 , 0.350722
10 , -6.688632 , 0.411458
11 , -22.839195 , 1.065974
12 , -10.564871 , 1.460741
13 , -11.295616 , 1.883596
14 , -3.325937 , 0.615349
15 , -3.807373 , 0.350520
16 , -5.817527 , 0.252408
17 , -10.515312 , 0.806259
18 , -6.478193 , 1.012457
19 , -6.939186 , 0.000000
20 , -7.683412 , 0.678891
21 , -6.044874 , 0.739857
22 , -12.205958 , 0.829535
23 , -10.139788 , 1.050655
24 , -7.742003 , 0.601755
25 , -11.469031 , 0.457802
26 , -4.116474 , 0.000000
27 , -5.930965 , 0.000000
28 , -6.743357 , 0.000000
29 , -7.120439 , 1.458724
30 , -13.638357 , 0.756893
31 , -7.932034 , 1.076084
32 , -3.752447 , 0.000000
33 , -6.556659 , 0.349371
34 , -2.564193 , 0.000000
35 , -5.225060 , 0.272831
36 , -5.087706 , 0.289458
37 , -7.407992 , 0.866183
38 , -4.185578 , 0.269874
39 , -5.848221 , 0.876663
40 , -8.467991 , 1.290197
41 , -5.866388 , 0.339064
42 , -4.264667 , 0.406499
43 , -7.466752 , 0.000000
44 , -6.697446 , 1.813706
45 , -6.329773 , 2.027737
46 , -5.868043 , 0.442975
47 , -8.673849 , 1.295655
48 , -10.310449 , 0.885831
49 , -5.931377 , 0.844518
50 , -7.710443 , 0.686856
51 , -9.941130 , 1.309475
52 , -5.998501 , 0.503526
53 , -12.345713 , 1.573731
54 , -13.152473 , 1.435190
55 , -6.961026 , 0.272637
56 , -7.394700 , 1.009044
57 , -13.559815 , 0.823906
58 , -6.720777 , 1.148577
59 , -9.402506 , 0.431184
60 , -7.010422 , 0.805658
61 , -21.798610 , 1.008178
62 , -8.139264 , 0.000000
63 , -10.048425 , 1.600598
64 , -6.573637 , 1.218237
65 , -5.538011 , 0.634405
66 , -4.859617 , 0.297834
67 , -3.650040 , 0.000000
68 , -4.789776 , 0.406592
69 , -4.926272 , 1.499908
70 , -19.101774 , 2.487739
71 , -5.462625 , 0.000000
72 , -5.518328 , 0.000000
73 , -4.573553 , 0.000000
74 , -6.492399 , 0.000000
75 , -5.843838 , 0.930967
76 , -9.073795 , 1.158650
77 , -11.049767 , 1.303326
78 , -9.924785 , 2.304128
79 , -10.114047 , 0.838412
80 , -10.334287 , 2.134639
81 , -9.031434 , 0.000000
82 , -7.332693 , 0.246313
83 , -17.204883 , 0.818545
84 , -5.825330 , 0.901248
85 , -10.751438 , 1.261929
86 , -14.167738 , 1.095586
87 , -10.461352 , 0.699844
88 , -11.562743 , 0.931819
89 , -5.556658 , 1.006309
90 , -13.735130 , 1.088861
91 , -12.687341 , 0.425444
92 , -7.731650 , 0.628463
93 , -6.544977 , 0.643292
94 , -4.369478 , 0.338077
95 , -10.414825 , 0.750784
96 , -286.602418 , 0.000000
97 , -7.068595 , 1.681762
98 , -4.021042 , 0.562609
99 , -5.572841 , 0.812922
100 , -5.006090 , 0.000000
101 , -7.393694 , 0.000000
102 , -12.679441 , 0.748271
103 , -10.682423 , 1.285154
104 , -4.220305 , 0.000000
105 , -7.381112 , 0.543487
106 , -11.195508 , 0.000000
107 , -7.769251 , 0.000000
108 , -7.464728 , 0.000000
109 , -5.501132 , 0.000000
110 , -11.246479 , 1.264717
111 , -12.418544 , 0.000000
112 , -7.078384 , 1.120185
