
Iteration: 1, reward: -23.850436022438796, feedback_rate(/sec): 0.617963014


Iteration: 2, reward: -15.822554148696838, feedback_rate(/sec): 1.30245878882


Iteration: 3, reward: -9.530401414346452, feedback_rate(/sec): 0.923164601725


Iteration: 4, reward: -12.535052402241199, feedback_rate(/sec): 0.93669416826


Iteration: 5, reward: -12.835754447972324, feedback_rate(/sec): 0.614684756916


Iteration: 6, reward: -9.238006991951892, feedback_rate(/sec): 1.10543935842


Iteration: 7, reward: -7.8290790260568786, feedback_rate(/sec): 1.11568221314


Iteration: 8, reward: -8.910412018142024, feedback_rate(/sec): 1.17795008067


Iteration: 9, reward: -3.4471406245602427, feedback_rate(/sec): 0.350721762171


Iteration: 10, reward: -6.688632252437086, feedback_rate(/sec): 0.411457949622


Iteration: 11, reward: -22.83919455721892, feedback_rate(/sec): 1.06597368997


Iteration: 12, reward: -10.564871278168118, feedback_rate(/sec): 1.46074113918


Iteration: 13, reward: -11.29561639272394, feedback_rate(/sec): 1.88359616027


Iteration: 14, reward: -3.3259368672412473, feedback_rate(/sec): 0.615349224253


Iteration: 15, reward: -3.807373153038865, feedback_rate(/sec): 0.350520021524


Iteration: 16, reward: -5.817527309903878, feedback_rate(/sec): 0.252408357252


Iteration: 17, reward: -10.515312099176743, feedback_rate(/sec): 0.806259147009


Iteration: 18, reward: -6.478192860104912, feedback_rate(/sec): 1.01245703812


Iteration: 19, reward: -6.939185712353749, feedback_rate(/sec): 0.0


Iteration: 20, reward: -7.683412251257431, feedback_rate(/sec): 0.678890998467


Iteration: 21, reward: -6.044874400679734, feedback_rate(/sec): 0.739856593939


Iteration: 22, reward: -12.205957781397904, feedback_rate(/sec): 0.829535434134


Iteration: 23, reward: -10.139787697147668, feedback_rate(/sec): 1.05065539712


Iteration: 24, reward: -7.7420025976847375, feedback_rate(/sec): 0.601755135405


Iteration: 25, reward: -11.46903057149005, feedback_rate(/sec): 0.457801672874


Iteration: 26, reward: -4.116473507325572, feedback_rate(/sec): 0.0


Iteration: 27, reward: -5.930965469366728, feedback_rate(/sec): 0.0


Iteration: 28, reward: -6.743357297924711, feedback_rate(/sec): 0.0


Iteration: 29, reward: -7.120438972702122, feedback_rate(/sec): 1.45872365158


Iteration: 30, reward: -13.638357201142592, feedback_rate(/sec): 0.756893006937


Iteration: 31, reward: -7.932034279656791, feedback_rate(/sec): 1.07608382316


Iteration: 32, reward: -3.7524467838096967, feedback_rate(/sec): 0.0


Iteration: 33, reward: -6.5566594414855, feedback_rate(/sec): 0.349371347912


Iteration: 34, reward: -2.564192843954562, feedback_rate(/sec): 0.0


Iteration: 35, reward: -5.2250601408134, feedback_rate(/sec): 0.272831349628


Iteration: 36, reward: -5.087705554653269, feedback_rate(/sec): 0.2894580584


Iteration: 37, reward: -7.407991924331621, feedback_rate(/sec): 0.866182565687


Iteration: 38, reward: -4.185577533140618, feedback_rate(/sec): 0.269874348301


Iteration: 39, reward: -5.848221072864086, feedback_rate(/sec): 0.876662578031


