iteration,reward,feedback_rate(/sec)
1 , -61.581430 , 0.854746
2 , -52.753562 , 0.646693
3 , -76.297644 , 0.902889
4 , -62.736693 , 0.627169
5 , -12.815715 , 0.000000
6 , -37.291222 , 0.927264
7 , -79.030569 , 1.868649
8 , -57.196610 , 1.261677
9 , -49.975054 , 2.931516
10 , -30.621227 , 0.793751
11 , -23.797861 , 0.385223
12 , -46.153515 , 2.330296
13 , -30.175018 , 1.086000
14 , -37.618913 , 2.310159
15 , -28.163161 , 0.000000
16 , -58.098857 , 0.497179
17 , -30.291848 , 0.171791
18 , -49.027330 , 0.204346
19 , -98.465626 , 0.000000
20 , -21.247772 , 0.000000
21 , -56.718245 , 0.132274
22 , -42.790124 , 0.656617
23 , -12.495558 , 0.184286
24 , -11.950674 , 0.340270
25 , -14.886452 , 0.715989
26 , -10.074172 , 0.122466
27 , -7.704787 , 0.412458
28 , -16.575957 , 0.049853
29 , -37.488221 , 0.106150
30 , -10.679317 , 0.274973
31 , -11.402581 , 0.320041
32 , -12.589474 , 0.523418
33 , -20.912228 , 0.851419
34 , -23.328522 , 0.327322
35 , -17.183463 , 1.128706
36 , -18.091171 , 0.518459
37 , -22.536567 , 1.392170
38 , -16.798359 , 0.566105
39 , -28.301119 , 0.100780
40 , -23.961925 , 0.914864
41 , -24.103295 , 0.474489
42 , -9.959746 , 0.445850
43 , -15.758199 , 0.600192
44 , -20.854524 , 0.139142
45 , -28.048335 , 0.127990
46 , -20.729230 , 0.221415
47 , -24.462157 , 0.148769
48 , -19.564781 , 0.000000
49 , -16.780888 , 0.028669
50 , -36.238694 , 0.136807
51 , -37.558800 , 0.014899
52 , -64.665403 , 0.276771
53 , -32.756460 , 0.018691
54 , -12.755621 , 0.103578
55 , -23.367005 , 0.406187
56 , -12.830571 , 0.661875
57 , -19.033285 , 0.500973
58 , -13.449631 , 1.383140
59 , -22.382424 , 0.852896
60 , -29.316422 , 0.078548
61 , -27.168701 , 0.026526
62 , -36.718821 , 0.030236
63 , -22.458042 , 0.115281
64 , -19.986218 , 0.301826
65 , -12.387160 , 0.618235
66 , -29.785640 , 0.000000
67 , -34.833520 , 0.473830
68 , -92.532080 , 0.138890
69 , -18.575994 , 0.244496
70 , -12.049581 , 0.279095
71 , -27.056208 , 0.247617
72 , -15.375116 , 2.472033
73 , -39.088183 , 0.364206
74 , -15.197258 , 0.167741
75 , -14.290991 , 0.255676
76 , -10.152492 , 0.000000
77 , -18.847750 , 0.755000
78 , -37.303861 , 3.091619
79 , -50.096829 , 0.556079
80 , -52.632901 , 1.048721
81 , -27.072159 , 0.091412
82 , -35.815686 , 0.000000
83 , -14.065462 , 0.295349
84 , -12.462446 , 0.604332
85 , -14.288661 , 0.429932
86 , -16.280486 , 0.226001
87 , -16.136814 , 0.046823
88 , -44.110656 , 0.027656
89 , -18.665646 , 0.133550
90 , -18.286945 , 0.280509
91 , -17.928386 , 0.477902
92 , -13.101832 , 0.111520
93 , -15.967310 , 0.329273
94 , -19.938310 , 0.467614
95 , -13.550347 , 0.264653
96 , -13.412267 , 0.633430
97 , -11.138973 , 0.087954
98 , -13.791015 , 0.420391
99 , -11.632727 , 0.057923
100 , -14.311096 , 0.000000
101 , -18.128066 , 0.091439
102 , -13.014556 , 0.000000
103 , -16.714530 , 0.000000
104 , -15.133012 , 0.219615
105 , -13.525156 , 0.000000
106 , -15.800724 , 0.535032
107 , -11.032822 , 0.340378
108 , -9.419717 , 0.412275
109 , -23.771012 , 0.520622
110 , -12.327580 , 0.325081
111 , -43.014658 , 0.824862
112 , -24.556109 , 0.772076
113 , -21.044938 , 0.436607
114 , -12.325429 , 0.429944
115 , -12.859289 , 0.296322
116 , -19.051303 , 0.515017
117 , -27.909758 , 1.360155
118 , -17.612836 , 1.208845
119 , -15.355861 , 2.030546
120 , -18.938936 , 2.377057
121 , -15.121164 , 1.616232
122 , -23.634983 , 1.702403
123 , -12.249032 , 0.884517
124 , -0.206744 , 6.557678
125 , -0.388870 , 0.000000
126 , -16.244014 , 0.080139
127 , -8.772092 , 0.000000
128 , -15.991304 , 1.926623
129 , -10.969764 , 0.168065
130 , -13.979053 , 0.846807
131 , -8.487796 , 0.312975
132 , -26.425982 , 0.137556
133 , -18.495576 , 0.084445
134 , -17.588684 , 0.050331
135 , -35.692315 , 0.000000
136 , -24.773057 , 0.720562
137 , -19.429448 , 0.637322
138 , -8.988291 , 0.581096
139 , -11.898150 , 2.192243
140 , -21.752093 , 2.960502
141 , -16.177277 , 1.537539
142 , -10.117049 , 1.254774
143 , -13.884738 , 0.574019
144 , -17.204403 , 0.844654
145 , -10.691956 , 0.000000
146 , -10.013279 , 0.000000
147 , -12.794433 , 0.000000
148 , -42.966623 , 0.000000
149 , -62.088206 , 0.000000
150 , -12.540794 , 0.000000
