
Iteration: 1, reward: -61.581429681178065, feedback_rate(/sec): 0.854745506743


Iteration: 2, reward: -52.7535618291303, feedback_rate(/sec): 0.646693304579


Iteration: 3, reward: -76.29764443022451, feedback_rate(/sec): 0.902889341165


Iteration: 4, reward: -62.73669342336966, feedback_rate(/sec): 0.627168779686


Iteration: 5, reward: -12.815715412933892, feedback_rate(/sec): 0.0


Iteration: 6, reward: -37.29122221481864, feedback_rate(/sec): 0.927263547358


Iteration: 7, reward: -79.0305689655855, feedback_rate(/sec): 1.86864888913


Iteration: 8, reward: -57.196609801125476, feedback_rate(/sec): 1.26167678348


Iteration: 9, reward: -49.97505419863618, feedback_rate(/sec): 2.93151583517


Iteration: 10, reward: -30.62122699358309, feedback_rate(/sec): 0.793751014007


Iteration: 11, reward: -23.797860801059066, feedback_rate(/sec): 0.385222970072


Iteration: 12, reward: -46.15351461137746, feedback_rate(/sec): 2.33029646095


Iteration: 13, reward: -30.175018464534784, feedback_rate(/sec): 1.08600020893


Iteration: 14, reward: -37.61891346480696, feedback_rate(/sec): 2.31015897027


Iteration: 15, reward: -28.16316070038125, feedback_rate(/sec): 0.0


Iteration: 16, reward: -58.09885652077533, feedback_rate(/sec): 0.497179208602


Iteration: 17, reward: -30.291847571792722, feedback_rate(/sec): 0.171791464101


Iteration: 18, reward: -49.027330264632035, feedback_rate(/sec): 0.204345822784


Iteration: 19, reward: -98.46562609487648, feedback_rate(/sec): 0.0


Iteration: 20, reward: -21.24777243527139, feedback_rate(/sec): 0.0


Iteration: 21, reward: -56.718244989372, feedback_rate(/sec): 0.132274061199


Iteration: 22, reward: -42.790124149275094, feedback_rate(/sec): 0.656617074448


Iteration: 23, reward: -12.495557601753356, feedback_rate(/sec): 0.184285950291


Iteration: 24, reward: -11.950674443141098, feedback_rate(/sec): 0.340270307073


Iteration: 25, reward: -14.886451555502925, feedback_rate(/sec): 0.715988746139


Iteration: 26, reward: -10.07417248772675, feedback_rate(/sec): 0.122466222036


Iteration: 27, reward: -7.704786688879171, feedback_rate(/sec): 0.412458165918


Iteration: 28, reward: -16.575957476496953, feedback_rate(/sec): 0.0498531672712


Iteration: 29, reward: -37.488220646977375, feedback_rate(/sec): 0.106150159711


Iteration: 30, reward: -10.679317075347749, feedback_rate(/sec): 0.274972831683


Iteration: 31, reward: -11.402581474769615, feedback_rate(/sec): 0.320040703419


Iteration: 32, reward: -12.589474440018973, feedback_rate(/sec): 0.523417974643


Iteration: 33, reward: -20.912228159178714, feedback_rate(/sec): 0.85141917839


Iteration: 34, reward: -23.328521764619595, feedback_rate(/sec): 0.327322195925


Iteration: 35, reward: -17.18346331206349, feedback_rate(/sec): 1.12870596383


Iteration: 36, reward: -18.091170748215514, feedback_rate(/sec): 0.518458859036


Iteration: 37, reward: -22.536566800877015, feedback_rate(/sec): 1.39216954315


Iteration: 38, reward: -16.798358505185803, feedback_rate(/sec): 0.566105244136


Iteration: 39, reward: -28.301119166419713, feedback_rate(/sec): 0.100779511708


