iteration,reward,feedback_rate(/sec)
1 , -23.928897 , 0.463923
2 , -24.769132 , 0.563076
3 , -20.494211 , 0.397413
4 , -34.384275 , 0.496840
5 , -31.336133 , 0.563050
6 , -28.022934 , 0.695533
7 , -27.590217 , 0.761804
8 , -23.036072 , 0.298088
9 , -17.038893 , 0.000000
10 , -18.260902 , 0.397831
11 , -27.110754 , 0.529907
12 , -20.547785 , 0.563073
13 , -20.681272 , 0.695469
14 , -33.153927 , 0.662783
15 , -17.613207 , 0.298388
16 , -19.479807 , 0.331496
17 , -27.144940 , 0.165757
18 , -29.499964 , 0.431007
19 , -38.340496 , 1.259894
20 , -18.175021 , 0.530428
21 , -29.402453 , 0.364408
22 , -24.738036 , 0.231843
23 , -30.864573 , 0.132628
24 , -24.374977 , 0.301460
25 , -20.156208 , 0.066297
26 , -27.077839 , 0.165601
27 , -18.194659 , 0.000000
28 , -46.774606 , 0.861103
29 , -25.930226 , 0.331209
30 , -43.873524 , 0.331548
31 , -32.613348 , 0.563627
32 , -31.263412 , 0.629855
33 , -17.096719 , 0.099358
34 , -31.484050 , 0.066263
35 , -16.649663 , 0.066280
36 , -23.247978 , 0.364297
37 , -10.152501 , 0.033119
38 , -21.325199 , 0.000000
39 , -25.066666 , 0.198939
40 , -19.734124 , 0.000000
41 , -17.886771 , 0.232061
42 , -21.150411 , 0.033156
43 , -21.148103 , 0.066304
44 , -15.465209 , 0.000000
45 , -18.253975 , 0.033119
46 , -17.630769 , 0.033153
47 , -35.255530 , 0.331224
48 , -17.015961 , 0.265198
49 , -26.294742 , 0.629405
50 , -15.614402 , 0.264983
