
Iteration: 1, reward: -39.4081209905, feedback_rate(/sec): 9.95730659057


Iteration: 2, reward: -67.4240313242, feedback_rate(/sec): 8.35437102804


Iteration: 3, reward: -122.800651464, feedback_rate(/sec): 0.376937043225


Iteration: 4, reward: -124.201449267, feedback_rate(/sec): 1.90950407937


Iteration: 5, reward: -56.0802995712, feedback_rate(/sec): 3.02299288299


Iteration: 6, reward: -26.1725046566, feedback_rate(/sec): 2.28599998256


Iteration: 7, reward: -30.5286750449, feedback_rate(/sec): 0.38206118639


Iteration: 8, reward: -54.4518135602, feedback_rate(/sec): 0.765273130615


Iteration: 9, reward: -36.7695526217, feedback_rate(/sec): 1.14207232165


Iteration: 10, reward: -31.8276609257, feedback_rate(/sec): 0.765165352854


Iteration: 11, reward: -46.0977222865, feedback_rate(/sec): 1.13355758406


Iteration: 12, reward: -21.9317121995, feedback_rate(/sec): 1.5061239304


Iteration: 13, reward: -62.1691241695, feedback_rate(/sec): 4.20774007912


Iteration: 14, reward: -43.8292140016, feedback_rate(/sec): 1.89696731555


Iteration: 15, reward: -20.1246117975, feedback_rate(/sec): 1.91630563782


Iteration: 16, reward: -11.1803398875, feedback_rate(/sec): 2.29849561926


Iteration: 17, reward: -58.1807528312, feedback_rate(/sec): 1.52477313191


Iteration: 18, reward: -37.947331922, feedback_rate(/sec): 3.43247994933


Iteration: 19, reward: -45.0, feedback_rate(/sec): 3.80177250914


Iteration: 20, reward: -59.0338885726, feedback_rate(/sec): 1.89298999974


Iteration: 21, reward: -22.2036033112, feedback_rate(/sec): 2.29383496778


Iteration: 22, reward: -33.1058907145, feedback_rate(/sec): 3.05930744057


Iteration: 23, reward: -9.21954445729, feedback_rate(/sec): 1.12281373039


Iteration: 24, reward: -21.5406592285, feedback_rate(/sec): 0.767523623796


Iteration: 25, reward: -104.043260233, feedback_rate(/sec): 0.767396045635


Iteration: 26, reward: -9.21954445729, feedback_rate(/sec): 4.50088879136


Iteration: 27, reward: -9.21954445729, feedback_rate(/sec): 0.0


Iteration: 28, reward: -12.7279220614, feedback_rate(/sec): 0.377587579295


Iteration: 29, reward: -37.2021504755, feedback_rate(/sec): 1.1635195107


Iteration: 30, reward: -25.632011236, feedback_rate(/sec): 1.53675280628


Iteration: 31, reward: -49.244289009, feedback_rate(/sec): 1.1526346033


Iteration: 32, reward: -12.5299640861, feedback_rate(/sec): 2.61937537091


Iteration: 33, reward: -9.21954445729, feedback_rate(/sec): 1.14518588536


Iteration: 34, reward: -12.2065556157, feedback_rate(/sec): 0.380126532903


Iteration: 35, reward: -29.206163733, feedback_rate(/sec): 0.38103249779


Iteration: 36, reward: -11.313708499, feedback_rate(/sec): 1.5213718849


Iteration: 37, reward: -21.4709105536, feedback_rate(/sec): 1.51359834722


Iteration: 38, reward: -22.4722050542, feedback_rate(/sec): 1.1450062301


Iteration: 39, reward: -27.4590604355, feedback_rate(/sec): 2.29358326269


Iteration: 40, reward: -22.5610283454, feedback_rate(/sec): 2.25883447778


