
Iteration: 1, reward: -21.0, feedback_rate(/sec): 10.3590434938


Iteration: 2, reward: -16.1245154966, feedback_rate(/sec): 2.16687606357


Iteration: 3, reward: -14.8660687473, feedback_rate(/sec): 2.47357681331


Iteration: 4, reward: -19.1049731745, feedback_rate(/sec): 2.47678732309


Iteration: 5, reward: -18.6815416923, feedback_rate(/sec): 3.44731440467


Iteration: 6, reward: -15.0, feedback_rate(/sec): 2.95387555503


Iteration: 7, reward: -11.6619037897, feedback_rate(/sec): 1.68631051511


Iteration: 8, reward: -9.05538513814, feedback_rate(/sec): 1.67955393406


Iteration: 9, reward: -9.48683298051, feedback_rate(/sec): 1.7850544234


Iteration: 10, reward: -11.1803398875, feedback_rate(/sec): 1.87666906553


Iteration: 11, reward: -30.5286750449, feedback_rate(/sec): 1.1866232216


Iteration: 12, reward: -24.1660919472, feedback_rate(/sec): 1.68273813935


Iteration: 13, reward: -12.0, feedback_rate(/sec): 2.77811015812


Iteration: 14, reward: -11.6619037897, feedback_rate(/sec): 1.96961615344


Iteration: 15, reward: -13.0, feedback_rate(/sec): 1.77226459055


Iteration: 16, reward: -26.9258240357, feedback_rate(/sec): 1.87069668366


Iteration: 17, reward: -57.1401785086, feedback_rate(/sec): 1.18448911807


Iteration: 18, reward: -69.4622199472, feedback_rate(/sec): 0.987695301176


Iteration: 19, reward: -74.4311762637, feedback_rate(/sec): 0.793256128383


Iteration: 20, reward: -16.1554944214, feedback_rate(/sec): 0.990150183376


Iteration: 21, reward: -30.5286750449, feedback_rate(/sec): 0.789078600449


Iteration: 22, reward: -43.4165866922, feedback_rate(/sec): 0.69062135351


Iteration: 23, reward: -12.0, feedback_rate(/sec): 2.56275446292


Iteration: 24, reward: -27.8028775489, feedback_rate(/sec): 0.989631237841


Iteration: 25, reward: -19.0262975904, feedback_rate(/sec): 2.57563779224


Iteration: 26, reward: -13.4536240471, feedback_rate(/sec): 0.889252569378


Iteration: 27, reward: -13.152946438, feedback_rate(/sec): 1.58130798699


Iteration: 28, reward: -68.5054742338, feedback_rate(/sec): 0.889302491871


Iteration: 29, reward: -13.0, feedback_rate(/sec): 0.493850430023


Iteration: 30, reward: -46.3249392876, feedback_rate(/sec): 0.395193815373


Iteration: 31, reward: -13.0, feedback_rate(/sec): 0.886623003895


Iteration: 32, reward: -7.28010988928, feedback_rate(/sec): 0.887434278589


Iteration: 33, reward: -10.0, feedback_rate(/sec): 0.890275873775


Iteration: 34, reward: -13.0, feedback_rate(/sec): 1.08557304486


Iteration: 35, reward: -28.1780056072, feedback_rate(/sec): 1.67434057453


Iteration: 36, reward: -13.0384048104, feedback_rate(/sec): 0.890590554446


Iteration: 37, reward: -11.313708499, feedback_rate(/sec): 1.4824897217


Iteration: 38, reward: -11.7046999107, feedback_rate(/sec): 2.07888272908


Iteration: 39, reward: -10.6301458127, feedback_rate(/sec): 1.28793911255


Iteration: 40, reward: -9.21954445729, feedback_rate(/sec): 0.98962182788


Iteration: 41, reward: -9.05538513814, feedback_rate(/sec): 0.790417439106

