iteration,reward,feedback_rate(/sec)
1 , -111.018017 , 2.469727
2 , -62.000000 , 3.154879
3 , -61.911227 , 3.055600
4 , -57.974132 , 3.172257
5 , -26.907248 , 1.779956
6 , -49.040799 , 1.486698
7 , -47.381431 , 1.478969
8 , -22.000000 , 1.772287
9 , -34.828150 , 2.377363
10 , -36.619667 , 1.388321
11 , -20.591260 , 2.169908
12 , -52.201533 , 2.959857
13 , -48.373546 , 0.890405
14 , -77.414469 , 1.087352
15 , -70.327804 , 2.082465
16 , -38.275318 , 0.197126
17 , -17.464249 , 0.098698
18 , -13.601471 , 0.000000
19 , -15.811388 , 0.000000
20 , -26.248809 , 0.395308
21 , -23.021729 , 0.099144
22 , -22.022716 , 0.198366
23 , -23.086793 , 0.000000
24 , -14.422205 , 0.196641
25 , -12.649111 , 0.000000
26 , -13.000000 , 0.000000
27 , -16.763055 , 0.000000
28 , -18.973666 , 0.197013
29 , -19.313208 , 0.000000
30 , -12.529964 , 0.198019
31 , -62.032250 , 0.000000
32 , -18.357560 , 0.891624
33 , -13.601471 , 0.985900
34 , -17.804494 , 0.000000
35 , -71.063352 , 0.297216
36 , -10.630146 , 0.197829
37 , -7.280110 , 0.000000
38 , -62.000000 , 0.197781
39 , -10.770330 , 0.591112
40 , -10.630146 , 0.197026
41 , -8.246211 , 0.000000
42 , -22.203603 , 0.197231
43 , -13.000000 , 0.000000
44 , -61.400326 , 0.000000
45 , -12.369317 , 0.000000
46 , -14.317821 , 0.098493
47 , -17.720045 , 0.099137
48 , -60.539243 , 0.198217
49 , -59.539903 , 0.297335
50 , -61.032778 , 0.987991
51 , -9.219544 , 2.975562
52 , -7.000000 , 0.099174
53 , -61.073726 , 0.297562
54 , -10.440307 , 1.685741
55 , -8.944272 , 0.991916
56 , -11.180340 , 0.991656
57 , -6.082763 , 0.984514
58 , -8.062258 , 0.985447
59 , -9.433981 , 0.986941
60 , -11.401754 , 1.088750
61 , -9.055385 , 0.099213
62 , -10.816654 , 1.178734
63 , -8.062258 , 0.099067
64 , -10.630146 , 0.000000
65 , -9.219544 , 0.793245
66 , -11.661904 , 0.098693
67 , -6.708204 , 0.098451
68 , -12.529964 , 0.196904
69 , -8.485281 , 0.000000
70 , -8.000000 , 0.197054
71 , -8.246211 , 0.000000
72 , -8.062258 , 0.098921
73 , -8.944272 , 0.000000
