
Iteration: 1, reward: -111.018016556, feedback_rate(/sec): 2.46972678299


Iteration: 2, reward: -62.0, feedback_rate(/sec): 3.15487857743


Iteration: 3, reward: -61.9112267687, feedback_rate(/sec): 3.05559968666


Iteration: 4, reward: -57.9741321625, feedback_rate(/sec): 3.17225739029


Iteration: 5, reward: -26.9072480941, feedback_rate(/sec): 1.77995573067


Iteration: 6, reward: -49.040799341, feedback_rate(/sec): 1.48669760834


Iteration: 7, reward: -47.3814309619, feedback_rate(/sec): 1.47896906097


Iteration: 8, reward: -22.0, feedback_rate(/sec): 1.77228726447


Iteration: 9, reward: -34.8281495345, feedback_rate(/sec): 2.37736250634


Iteration: 10, reward: -36.6196668472, feedback_rate(/sec): 1.38832100849


Iteration: 11, reward: -20.591260282, feedback_rate(/sec): 2.16990792787


Iteration: 12, reward: -52.2015325446, feedback_rate(/sec): 2.95985690404


Iteration: 13, reward: -48.3735464898, feedback_rate(/sec): 0.890404642902


Iteration: 14, reward: -77.4144689318, feedback_rate(/sec): 1.08735170311


Iteration: 15, reward: -70.3278038901, feedback_rate(/sec): 2.08246521574


Iteration: 16, reward: -38.275318418, feedback_rate(/sec): 0.197125962326


Iteration: 17, reward: -17.4642491966, feedback_rate(/sec): 0.0986978104322


Iteration: 18, reward: -13.6014705087, feedback_rate(/sec): 0.0


Iteration: 19, reward: -15.8113883008, feedback_rate(/sec): 0.0


Iteration: 20, reward: -26.2488094968, feedback_rate(/sec): 0.395308125015


Iteration: 21, reward: -23.0217288664, feedback_rate(/sec): 0.0991440990726


Iteration: 22, reward: -22.0227155455, feedback_rate(/sec): 0.198366057932


Iteration: 23, reward: -23.0867927612, feedback_rate(/sec): 0.0


Iteration: 24, reward: -14.4222051019, feedback_rate(/sec): 0.196640573204


Iteration: 25, reward: -12.6491106407, feedback_rate(/sec): 0.0


Iteration: 26, reward: -13.0, feedback_rate(/sec): 0.0


Iteration: 27, reward: -16.7630546142, feedback_rate(/sec): 0.0


Iteration: 28, reward: -18.973665961, feedback_rate(/sec): 0.197013415129


Iteration: 29, reward: -19.3132079158, feedback_rate(/sec): 0.0


Iteration: 30, reward: -12.5299640861, feedback_rate(/sec): 0.198018943761


Iteration: 31, reward: -62.0322496771, feedback_rate(/sec): 0.0


Iteration: 32, reward: -18.3575597507, feedback_rate(/sec): 0.891624102689


Iteration: 33, reward: -13.6014705087, feedback_rate(/sec): 0.985899972583


Iteration: 34, reward: -17.8044938148, feedback_rate(/sec): 0.0


Iteration: 35, reward: -71.0633520178, feedback_rate(/sec): 0.297216009215


Iteration: 36, reward: -10.6301458127, feedback_rate(/sec): 0.197828827972


Iteration: 37, reward: -7.28010988928, feedback_rate(/sec): 0.0


Iteration: 38, reward: -62.0, feedback_rate(/sec): 0.197781191674


Iteration: 39, reward: -10.7703296143, feedback_rate(/sec): 0.591111574934


Iteration: 40, reward: -10.6301458127, feedback_rate(/sec): 0.197026320743


Iteration: 41, reward: -8.24621125124, feedback_rate(/sec): 0.0


