iteration,reward,feedback_rate(/sec)
1 , -12.979281 , 0.000000
2 , -2.765066 , 0.000000
3 , -4.189568 , 0.000000
4 , -8.170157 , 0.245299
5 , -6.404960 , 0.350502
6 , -2.568574 , 0.000000
7 , -1.652453 , 0.000000
8 , -2.084128 , 0.000000
9 , -7.873152 , 0.869063
10 , -7.658543 , 0.372658
11 , -4.807119 , 0.000000
12 , -3.831683 , 0.000000
13 , -4.050882 , 0.000000
14 , -5.231636 , 0.392784
15 , -3.058187 , 0.000000
16 , -3.485322 , 0.000000
17 , -2.410588 , 0.000000
18 , -6.862278 , 0.130979
19 , -4.389240 , 0.155975
20 , -5.445699 , 1.086586
21 , -3.696270 , 0.000000
22 , -3.767024 , 0.000000
23 , -4.578811 , 0.000000
24 , -7.576143 , 0.671943
25 , -5.869548 , 0.566180
26 , -1.824766 , 0.000000
27 , -2.735460 , 0.000000
28 , -3.912732 , 0.000000
29 , -2.963525 , 0.000000
30 , -4.011679 , 0.208449
31 , -1.158961 , 0.000000
32 , -6.489177 , 0.838130
33 , -2.054679 , 0.000000
34 , -1.469423 , 0.000000
35 , -2.901672 , 0.000000
36 , -10.020075 , 0.235301
37 , -4.891271 , 0.445976
38 , -2.267513 , 0.000000
39 , -4.683884 , 0.534375
40 , -14.470091 , 0.039911
41 , -35.547771 , 0.300495
42 , -7.427639 , 1.158078
43 , -22.372890 , 0.000000
44 , -8.285479 , 0.659751
45 , -28.808678 , 0.000000
46 , -5.552872 , 0.284400
47 , -36.143236 , 0.148248
48 , -1.666320 , 0.000000
49 , -28.879872 , 0.000000
50 , -2.281581 , 0.000000
