Collecting dynamics training data 500
Collecting dynamics training data 1000
Collecting dynamics training data 1500
Collecting dynamics training data 2000
Collecting dynamics training data 2500
Collecting dynamics training data 3000
Collecting dynamics training data 3500
Collecting dynamics training data 4000
Collecting dynamics training data 4500
Collecting dynamics training data 5000
Collecting dynamics training data 5500
Collecting dynamics training data 6000
Collecting dynamics training data 6500
Collecting dynamics training data 7000
FDM train: iteration: 500, fdm_loss: 0.010923
FDM train: iteration: 1000, fdm_loss: 0.008941
FDM train: iteration: 1500, fdm_loss: 0.008868
FDM train: iteration: 2000, fdm_loss: 0.007351
FDM train: iteration: 2500, fdm_loss: 0.005835
FDM train: iteration: 3000, fdm_loss: 0.005802
FDM train: iteration: 3500, fdm_loss: 0.005834
FDM train: iteration: 4000, fdm_loss: 0.005766
FDM train: iteration: 4500, fdm_loss: 0.005482
FDM train: iteration: 5000, fdm_loss: 0.005429
FDM train: iteration: 5500, fdm_loss: 0.005327
FDM train: iteration: 6000, fdm_loss: 0.005133
FDM train: iteration: 6500, fdm_loss: 0.005401
FDM train: iteration: 7000, fdm_loss: 0.005073
FDM train: iteration: 7500, fdm_loss: 0.004852
FDM train: iteration: 8000, fdm_loss: 0.005100
FDM train: iteration: 8500, fdm_loss: 0.004733
FDM train: iteration: 9000, fdm_loss: 0.004687
FDM train: iteration: 9500, fdm_loss: 0.004673
FDM train: iteration: 10000, fdm_loss: 0.004188
FDM train: iteration: 10500, fdm_loss: 0.004308
FDM train: iteration: 11000, fdm_loss: 0.003811
FDM train: iteration: 11500, fdm_loss: 0.004048
FDM train: iteration: 12000, fdm_loss: 0.004395
FDM train: iteration: 12500, fdm_loss: 0.004058
FDM train: iteration: 13000, fdm_loss: 0.003909
FDM train: iteration: 13500, fdm_loss: 0.004123
FDM train: iteration: 14000, fdm_loss: 0.003854
FDM train: iteration: 14500, fdm_loss: 0.003719
FDM train: iteration: 15000, fdm_loss: 0.003955
FDM train: iteration: 15500, fdm_loss: 0.003758
FDM train: iteration: 16000, fdm_loss: 0.003997
FDM train: iteration: 16500, fdm_loss: 0.003978
FDM train: iteration: 17000, fdm_loss: 0.003951
FDM train: iteration: 17500, fdm_loss: 0.003768
FDM train: iteration: 18000, fdm_loss: 0.003801
FDM train: iteration: 18500, fdm_loss: 0.003658
FDM train: iteration: 19000, fdm_loss: 0.003580
FDM train: iteration: 19500, fdm_loss: 0.003595
FDM train: iteration: 20000, fdm_loss: 0.003665
FDM train: iteration: 20500, fdm_loss: 0.003791
FDM train: iteration: 21000, fdm_loss: 0.003959
FDM train: iteration: 21500, fdm_loss: 0.003691
FDM train: iteration: 22000, fdm_loss: 0.003944
FDM train: iteration: 22500, fdm_loss: 0.003630
FDM train: iteration: 23000, fdm_loss: 0.003832
FDM train: iteration: 23500, fdm_loss: 0.003632
FDM train: iteration: 24000, fdm_loss: 0.003786
FDM train: iteration: 24500, fdm_loss: 0.003536
FDM train: iteration: 25000, fdm_loss: 0.003696
