iteration,reward,feedback_rate(/sec)
1 , -123.460512 , 0.743109
2 , -135.187220 , 0.644235
3 , -86.283412 , 0.594842
4 , -27.080020 , 1.586773
5 , -22.633665 , 0.793254
6 , -28.030963 , 1.437602
7 , -13.200462 , 0.446211
8 , -17.965428 , 0.297312
9 , -14.049690 , 0.495568
10 , -10.071900 , 0.545461
11 , -22.707285 , 1.488044
12 , -23.286375 , 1.189594
13 , -15.328607 , 0.793079
14 , -16.741129 , 0.941914
15 , -8.481053 , 0.842514
16 , -9.920469 , 0.198312
17 , -21.117633 , 0.595177
18 , -15.206506 , 0.742959
19 , -14.367299 , 0.742795
20 , -23.401635 , 0.793038
21 , -13.603423 , 1.090147
22 , -12.436389 , 2.133367
23 , -11.682487 , 0.446174
24 , -21.417737 , 0.247773
25 , -16.533464 , 0.198235
26 , -24.050978 , 0.000000
27 , -22.085094 , 0.297422
28 , -19.523134 , 0.495718
29 , -12.544842 , 0.495069
30 , -20.981771 , 0.793611
31 , -19.601541 , 0.396462
32 , -20.621611 , 0.396740
33 , -22.008448 , 0.990894
34 , -21.255812 , 1.139820
35 , -23.301291 , 0.545161
36 , -28.397703 , 0.000000
37 , -28.755910 , 0.446024
38 , -24.496045 , 0.000000
39 , -24.855586 , 0.148683
40 , -7.685940 , 0.495565
41 , -23.520313 , 0.148716
42 , -18.883443 , 0.198230
43 , -12.842466 , 0.495531
44 , -20.972646 , 0.694073
45 , -14.277179 , 1.189022
46 , -25.110199 , 0.495690
47 , -21.642592 , 0.297354
48 , -30.189555 , 1.189316
49 , -24.896556 , 0.743575
50 , -20.035808 , 0.346998
51 , -33.648182 , 0.049537
52 , -25.003659 , 0.842342
53 , -21.029555 , 0.942413
54 , -25.881766 , 0.594770
55 , -9.772530 , 0.049578
56 , -23.092157 , 0.099104
57 , -28.705178 , 0.074270
58 , -13.595011 , 0.000000
59 , -29.352005 , 0.140159
60 , -27.183954 , 0.000000
61 , -30.417641 , 0.000000
62 , -24.602624 , 0.057579
63 , -29.535073 , 0.198373
64 , -24.847005 , 0.247960
65 , -22.322388 , 0.000000
