iteration,reward,feedback_rate(/sec)
1 , -101.607086 , 5.545678
2 , -89.106678 , 4.829757
3 , -95.015788 , 2.930144
4 , -61.098281 , 1.928404
5 , -71.112587 , 1.686556
6 , -53.338541 , 3.423221
7 , -93.962759 , 1.459845
8 , -41.773197 , 2.199591
9 , -59.464275 , 3.146074
10 , -73.246160 , 1.712395
11 , -97.739450 , 1.201987
12 , -92.114060 , 1.708174
13 , -58.694122 , 2.185184
14 , -31.064449 , 1.918273
15 , -78.236820 , 3.914166
16 , -20.248457 , 2.446843
17 , -24.331050 , 0.965721
18 , -28.000000 , 1.450035
19 , -25.961510 , 1.221849
20 , -93.471921 , 2.939921
21 , -81.541401 , 0.978067
22 , -9.848858 , 0.242777
23 , -51.400389 , 1.959021
24 , -101.000000 , 2.193712
25 , -65.459911 , 0.977931
26 , -99.408249 , 1.212281
27 , -23.021729 , 0.000000
28 , -12.369317 , 0.241201
29 , -96.020831 , 1.207098
30 , -17.720045 , 0.732633
31 , -88.509886 , 1.208474
32 , -42.449971 , 0.481203
33 , -46.065171 , 6.321321
34 , -32.572995 , 4.605830
35 , -102.259474 , 3.619782
36 , -46.486557 , 1.687065
37 , -101.123687 , 0.480544
38 , -33.376639 , 0.734586
39 , -39.204592 , 4.143812
40 , -53.150729 , 4.157663
41 , -36.400549 , 1.688045
42 , -12.165525 , 5.791408
43 , -91.607860 , 0.483489
44 , -38.639358 , 0.975607
45 , -33.955854 , 3.417226
46 , -54.781384 , 6.242263
47 , -12.529964 , 5.344635
48 , -4.472136 , 0.000000
49 , -11.401754 , 0.000000
50 , -9.899495 , 0.000000
51 , -11.661904 , 0.725860
52 , -102.107786 , 1.207761
53 , -101.000000 , 1.447684
54 , -10.049876 , 0.000000
55 , -13.453624 , 0.000000
56 , -7.810250 , 6.513919
57 , -14.866069 , 0.000000
58 , -5.385165 , 0.000000
59 , -6.082763 , 0.000000
60 , -4.000000 , 0.000000
61 , -4.000000 , 0.000000
62 , -4.472136 , 0.000000
63 , -4.123106 , 0.000000
64 , -5.385165 , 0.000000
65 , -5.000000 , 0.000000
66 , -5.099020 , 0.000000
67 , -5.000000 , 0.000000
68 , -5.000000 , 0.000000
69 , -5.099020 , 0.000000
70 , -5.000000 , 0.000000
