iteration,reward,feedback_rate(/sec)
1 , -21.000000 , 10.359043
2 , -16.124515 , 2.166876
3 , -14.866069 , 2.473577
4 , -19.104973 , 2.476787
5 , -18.681542 , 3.447314
6 , -15.000000 , 2.953876
7 , -11.661904 , 1.686311
8 , -9.055385 , 1.679554
9 , -9.486833 , 1.785054
10 , -11.180340 , 1.876669
11 , -30.528675 , 1.186623
12 , -24.166092 , 1.682738
13 , -12.000000 , 2.778110
14 , -11.661904 , 1.969616
15 , -13.000000 , 1.772265
16 , -26.925824 , 1.870697
17 , -57.140179 , 1.184489
18 , -69.462220 , 0.987695
19 , -74.431176 , 0.793256
20 , -16.155494 , 0.990150
21 , -30.528675 , 0.789079
22 , -43.416587 , 0.690621
23 , -12.000000 , 2.562754
24 , -27.802878 , 0.989631
25 , -19.026298 , 2.575638
26 , -13.453624 , 0.889253
27 , -13.152946 , 1.581308
28 , -68.505474 , 0.889302
29 , -13.000000 , 0.493850
30 , -46.324939 , 0.395194
31 , -13.000000 , 0.886623
32 , -7.280110 , 0.887434
33 , -10.000000 , 0.890276
34 , -13.000000 , 1.085573
35 , -28.178006 , 1.674341
36 , -13.038405 , 0.890591
37 , -11.313708 , 1.482490
38 , -11.704700 , 2.078883
39 , -10.630146 , 1.287939
40 , -9.219544 , 0.989622
41 , -9.055385 , 0.790417
42 , -24.041631 , 0.892271
43 , -17.117243 , 0.492570
44 , -18.973666 , 0.785193
45 , -13.152946 , 0.496068
46 , -13.000000 , 1.189545
47 , -22.360680 , 0.594919
48 , -15.556349 , 1.883508
49 , -56.568542 , 0.000000
50 , -6.324555 , 0.492145
51 , -10.770330 , 0.987361
52 , -13.000000 , 0.594905
53 , -7.071068 , 0.495664
54 , -20.591260 , 1.181372
55 , -21.260292 , 0.394152
56 , -22.472205 , 0.787617
57 , -21.023796 , 1.280914
58 , -7.071068 , 0.396812
59 , -10.816654 , 1.087976
60 , -10.000000 , 0.396543
61 , -41.231056 , 0.890605
62 , -43.863424 , 0.888688
63 , -18.384776 , 0.886715
64 , -6.708204 , 0.888770
65 , -11.000000 , 0.492846
66 , -10.630146 , 0.591164
67 , -8.000000 , 0.886808
68 , -9.899495 , 0.496015
69 , -36.235342 , 0.099144
70 , -14.764823 , 0.495756
71 , -13.341664 , 0.885885
72 , -10.770330 , 0.693635
73 , -12.000000 , 1.086615
74 , -9.219544 , 1.977458
75 , -26.925824 , 0.691749
76 , -9.486833 , 0.590797
77 , -6.324555 , 0.887267
78 , -5.385165 , 1.083451
79 , -9.219544 , 1.388224
80 , -6.708204 , 0.297661
81 , -17.000000 , 0.000000
82 , -7.000000 , 0.000000
83 , -8.544004 , 0.296248
84 , -13.601471 , 0.295275
85 , -9.899495 , 1.190026
86 , -14.422205 , 0.395705
87 , -15.033296 , 0.000000
88 , -13.038405 , 0.591205
89 , -16.492423 , 0.099150
90 , -16.552945 , 0.099190
91 , -10.440307 , 0.888067
92 , -8.062258 , 0.395164
93 , -10.049876 , 0.394445
94 , -16.155494 , 0.197659
95 , -14.764823 , 0.297273
96 , -13.892444 , 0.494967
97 , -8.944272 , 0.098432
98 , 0.000000 , 0.000000
99 , -7.211103 , 0.000000
100 , -9.000000 , 0.198280
101 , -20.124612 , 0.000000
102 , -8.246211 , 0.295415
103 , -9.000000 , 0.197468
104 , -9.899495 , 0.000000
105 , -11.180340 , 0.000000
106 , -5.000000 , 0.098784
107 , -8.000000 , 0.098766
108 , -20.124612 , 0.197632
109 , 0.000000 , 0.000000
110 , -97.200823 , 0.000000
111 , -8.544004 , 0.000000
112 , -47.296934 , 0.000000
113 , -4.472136 , 0.098284
114 , -6.324555 , 0.000000
115 , -7.000000 , 0.000000
116 , -18.681542 , 0.197548
117 , -8.000000 , 0.296189
118 , -10.630146 , 0.000000
119 , -12.041595 , 0.493914
120 , -15.524175 , 0.197569
121 , -14.866069 , 1.288901
122 , -6.082763 , 0.198230
123 , -24.020824 , 0.000000
124 , -10.630146 , 0.098631
125 , -11.000000 , 0.000000
126 , -8.944272 , 0.495236
127 , -8.602325 , 1.287756
128 , -7.211103 , 0.098759
129 , -14.317821 , 0.000000
130 , -9.219544 , 0.196901
131 , -17.464249 , 0.000000
132 , -10.770330 , 0.492700
133 , -46.065171 , 0.000000
134 , -43.566042 , 0.000000
135 , -81.467785 , 0.000000
