iteration,reward,feedback_rate(/sec)
1 , -104.216122 , 5.029689
2 , -60.033324 , 2.470256
3 , -53.075418 , 1.774797
4 , -87.361319 , 2.071045
5 , -70.682388 , 2.070220
6 , -57.628118 , 2.577931
7 , -83.240615 , 3.966905
8 , -58.034473 , 4.852961
9 , -41.012193 , 4.652184
10 , -58.034473 , 2.552746
11 , -19.924859 , 1.677220
12 , -19.697716 , 0.000000
13 , -92.849340 , 3.053699
14 , -42.953463 , 0.000000
15 , -58.034473 , 1.281122
16 , -55.973208 , 0.985305
17 , -25.806976 , 0.000000
18 , -45.486262 , 0.495311
19 , -14.560220 , 0.692570
20 , -15.033296 , 0.000000
21 , -26.627054 , 1.576734
22 , -26.172505 , 0.891252
23 , -61.294372 , 2.855698
24 , -16.763055 , 0.000000
25 , -14.866069 , 0.985491
26 , -12.165525 , 0.989974
27 , -27.586228 , 0.000000
28 , -51.000000 , 0.493194
29 , -12.165525 , 5.318251
30 , -17.464249 , 0.790270
31 , -18.788294 , 0.987721
32 , -15.132746 , 0.788242
33 , -25.709920 , 2.166585
34 , -19.697716 , 0.099142
35 , -24.207437 , 0.294945
36 , -20.396078 , 0.197014
37 , -35.128336 , 0.693788
38 , -17.029386 , 0.886730
39 , -13.928388 , 0.198251
40 , -13.000000 , 0.000000
