iteration,reward,feedback_rate(/sec)
1 , -22.828398 , 0.564762
2 , -27.500733 , 0.596135
3 , -18.392627 , 0.530037
4 , -72.941866 , 1.722376
5 , -41.887734 , 0.894362
6 , -76.880759 , 1.589928
7 , -15.983378 , 0.401391
8 , -20.517204 , 0.430854
9 , -32.604310 , 0.662420
10 , -65.773441 , 0.794949
11 , -15.689362 , 0.299338
12 , -19.256873 , 0.413932
13 , -21.363079 , 0.364678
14 , -61.969405 , 0.776850
15 , -22.838618 , 0.397642
16 , -41.407352 , 1.992360
17 , -8.690523 , 0.161828
18 , -10.834964 , 0.339821
19 , -37.038151 , 0.662491
20 , -29.668632 , 0.563649
21 , -41.337523 , 0.895128
22 , -19.297799 , 0.397652
23 , -28.577222 , 0.364309
24 , -39.064773 , 0.662444
25 , -15.925444 , 0.298394
26 , -1.922339 , 0.000000
27 , -54.834985 , 1.326101
28 , -42.100075 , 1.457291
29 , -46.183785 , 0.695560
30 , -17.000524 , 0.761875
31 , -35.098351 , 0.728688
32 , -20.324430 , 0.843342
33 , -46.002460 , 1.525099
34 , -26.338280 , 2.021013
35 , -26.996921 , 2.453515
36 , -38.258595 , 2.583392
37 , -57.698885 , 2.384682
38 , -23.384353 , 1.324846
39 , -46.596623 , 2.583485
40 , -45.287776 , 1.059955
