
Iteration: 1, reward: -22.82839842427133, feedback_rate(/sec): 0.56476163421


Iteration: 2, reward: -27.500732908600682, feedback_rate(/sec): 0.596135213647


Iteration: 3, reward: -18.392626827228305, feedback_rate(/sec): 0.530036540284


Iteration: 4, reward: -72.9418662635245, feedback_rate(/sec): 1.72237580924


Iteration: 5, reward: -41.887734101536246, feedback_rate(/sec): 0.894362089036


Iteration: 6, reward: -76.88075890540946, feedback_rate(/sec): 1.58992786353


Iteration: 7, reward: -15.983377651448523, feedback_rate(/sec): 0.40139122284


Iteration: 8, reward: -20.51720393718161, feedback_rate(/sec): 0.43085421447


Iteration: 9, reward: -32.604309984789445, feedback_rate(/sec): 0.662419675591


Iteration: 10, reward: -65.77344101038388, feedback_rate(/sec): 0.794948764324


Iteration: 11, reward: -15.689362171698201, feedback_rate(/sec): 0.299337502521


Iteration: 12, reward: -19.256872742709582, feedback_rate(/sec): 0.41393247641


Iteration: 13, reward: -21.363079291382547, feedback_rate(/sec): 0.36467828232


Iteration: 14, reward: -61.969405460648446, feedback_rate(/sec): 0.776849840865


Iteration: 15, reward: -22.838617760929512, feedback_rate(/sec): 0.397641561074


Iteration: 16, reward: -41.40735206488653, feedback_rate(/sec): 1.99235950201


Iteration: 17, reward: -8.69052273998141, feedback_rate(/sec): 0.161828125561


Iteration: 18, reward: -10.834963807043867, feedback_rate(/sec): 0.339821255956


Iteration: 19, reward: -37.03815140392529, feedback_rate(/sec): 0.662491336232


Iteration: 20, reward: -29.668631788322948, feedback_rate(/sec): 0.563648570186


Iteration: 21, reward: -41.33752256593723, feedback_rate(/sec): 0.895128087436


Iteration: 22, reward: -19.29779907511563, feedback_rate(/sec): 0.397652431094


Iteration: 23, reward: -28.577222293816167, feedback_rate(/sec): 0.364308534851


Iteration: 24, reward: -39.064773053229615, feedback_rate(/sec): 0.662444293128


Iteration: 25, reward: -15.925443547868248, feedback_rate(/sec): 0.298393536897


Iteration: 26, reward: -1.9223391889701757, feedback_rate(/sec): 0.0


Iteration: 27, reward: -54.83498500845261, feedback_rate(/sec): 1.32610113627


Iteration: 28, reward: -42.100075117221614, feedback_rate(/sec): 1.45729069642


Iteration: 29, reward: -46.183784715163846, feedback_rate(/sec): 0.695559548407


Iteration: 30, reward: -17.000523589168374, feedback_rate(/sec): 0.76187460356


Iteration: 31, reward: -35.09835057954644, feedback_rate(/sec): 0.728687588822


Iteration: 32, reward: -20.324429862371314, feedback_rate(/sec): 0.843342151525


Iteration: 33, reward: -46.00245992595419, feedback_rate(/sec): 1.52509891726


Iteration: 34, reward: -26.338279884188662, feedback_rate(/sec): 2.02101343325


Iteration: 35, reward: -26.996920693986045, feedback_rate(/sec): 2.4535146016


Iteration: 36, reward: -38.25859459036074, feedback_rate(/sec): 2.58339179325


Iteration: 37, reward: -57.6988852786118, feedback_rate(/sec): 2.38468183236


Iteration: 38, reward: -23.384353186212252, feedback_rate(/sec): 1.32484557598


Iteration: 39, reward: -46.59662267596015, feedback_rate(/sec): 2.58348549296


Iteration: 40, reward: -45.287776332521524, feedback_rate(/sec): 1.05995544984

