iteration,reward,feedback_rate(/sec)
1 , -26.688300 , 0.298319
2 , -11.805268 , 0.000000
3 , -11.078634 , 0.066229
4 , -11.408129 , 0.066259
5 , -9.740795 , 0.000000
6 , -10.549255 , 0.331185
7 , -7.285916 , 0.066248
8 , -9.502651 , 0.000000
9 , -24.914948 , 0.364329
10 , -23.673097 , 0.662386
11 , -18.864047 , 0.198740
12 , -12.551035 , 0.000000
13 , -12.105483 , 0.000000
14 , -12.866398 , 0.033122
15 , -8.578528 , 0.000000
16 , -12.321174 , 0.000000
17 , -15.230494 , 0.000000
18 , -10.357816 , 0.000000
19 , -10.994512 , 0.000000
20 , -13.984450 , 0.000000
21 , -17.505250 , 0.000000
22 , -17.761874 , 0.662734
23 , -27.516401 , 0.364465
24 , -15.342215 , 0.000000
25 , -13.707858 , 0.000000
26 , -11.839465 , 0.000000
27 , -13.311662 , 0.000000
28 , -15.998732 , 0.000000
29 , -10.603347 , 0.000000
30 , -35.878649 , 0.000000
31 , -9.959373 , 0.000000
32 , -7.759460 , 0.000000
33 , -11.555265 , 0.000000
34 , -28.769841 , 0.761800
35 , -24.803619 , 0.565515
36 , -8.762515 , 0.000000
37 , -8.310226 , 0.000000
38 , -8.139927 , 0.000000
39 , -7.589056 , 0.000000
40 , -7.944492 , 0.000000
41 , -5.885559 , 0.000000
42 , -7.722278 , 0.000000
43 , -6.370537 , 0.000000
44 , -22.007988 , 0.546673
45 , -6.750636 , 0.000000
46 , -6.824032 , 0.098265
47 , -10.424858 , 0.000000
48 , -10.598227 , 0.000000
49 , -8.085271 , 0.000000
50 , -25.345218 , 0.248217
