
Iteration: 1, reward: -26.68830046546738, feedback_rate(/sec): 0.298318539017


Iteration: 2, reward: -11.80526796200675, feedback_rate(/sec): 0.0


Iteration: 3, reward: -11.078633860620412, feedback_rate(/sec): 0.0662289221678


Iteration: 4, reward: -11.408128816063417, feedback_rate(/sec): 0.0662586766569


Iteration: 5, reward: -9.740795147894142, feedback_rate(/sec): 0.0


Iteration: 6, reward: -10.549254896969382, feedback_rate(/sec): 0.331184838588


Iteration: 7, reward: -7.285916199777423, feedback_rate(/sec): 0.0662481024054


Iteration: 8, reward: -9.502650542949322, feedback_rate(/sec): 0.0


Iteration: 9, reward: -24.914947940368602, feedback_rate(/sec): 0.364328660964


Iteration: 10, reward: -23.673096538210128, feedback_rate(/sec): 0.662386325042


Iteration: 11, reward: -18.86404699754305, feedback_rate(/sec): 0.198740259401


Iteration: 12, reward: -12.551035200158998, feedback_rate(/sec): 0.0


Iteration: 13, reward: -12.105483072370788, feedback_rate(/sec): 0.0


Iteration: 14, reward: -12.866397686005223, feedback_rate(/sec): 0.0331220116836


Iteration: 15, reward: -8.57852843688382, feedback_rate(/sec): 0.0


Iteration: 16, reward: -12.321173524546793, feedback_rate(/sec): 0.0


Iteration: 17, reward: -15.230494374329465, feedback_rate(/sec): 0.0


Iteration: 18, reward: -10.357815504401747, feedback_rate(/sec): 0.0


Iteration: 19, reward: -10.994512182663202, feedback_rate(/sec): 0.0


Iteration: 20, reward: -13.984449846164695, feedback_rate(/sec): 0.0


Iteration: 21, reward: -17.505250242751178, feedback_rate(/sec): 0.0


Iteration: 22, reward: -17.761874300544584, feedback_rate(/sec): 0.662734241605


Iteration: 23, reward: -27.516400990892794, feedback_rate(/sec): 0.36446501955


Iteration: 24, reward: -15.342214665337183, feedback_rate(/sec): 0.0


Iteration: 25, reward: -13.707857883119889, feedback_rate(/sec): 0.0


Iteration: 26, reward: -11.839465072630697, feedback_rate(/sec): 0.0


Iteration: 27, reward: -13.311661500282641, feedback_rate(/sec): 0.0


Iteration: 28, reward: -15.998732301059626, feedback_rate(/sec): 0.0


Iteration: 29, reward: -10.603346743984298, feedback_rate(/sec): 0.0


Iteration: 30, reward: -35.87864856143779, feedback_rate(/sec): 0.0


Iteration: 31, reward: -9.959372947145562, feedback_rate(/sec): 0.0


Iteration: 32, reward: -7.759459971154236, feedback_rate(/sec): 0.0


Iteration: 33, reward: -11.55526450264207, feedback_rate(/sec): 0.0


Iteration: 34, reward: -28.769841319799838, feedback_rate(/sec): 0.761799603153


Iteration: 35, reward: -24.803619144021475, feedback_rate(/sec): 0.565514668382


Iteration: 36, reward: -8.762515482324995, feedback_rate(/sec): 0.0


Iteration: 37, reward: -8.310226266591355, feedback_rate(/sec): 0.0


Iteration: 38, reward: -8.139926909505364, feedback_rate(/sec): 0.0


Iteration: 39, reward: -7.589056272584195, feedback_rate(/sec): 0.0


Iteration: 40, reward: -7.944491955596892, feedback_rate(/sec): 0.0


Iteration: 41, reward: -5.885558892374652, feedback_rate(/sec): 0.0


Iteration: 42, reward: -7.722277804707092, feedback_rate(/sec): 0.0


Iteration: 43, reward: -6.37053659220828, feedback_rate(/sec): 0.0


Iteration: 44, reward: -22.00798753422429, feedback_rate(/sec): 0.546673394764


Iteration: 45, reward: -6.75063601816819, feedback_rate(/sec): 0.0


Iteration: 46, reward: -6.82403197895458, feedback_rate(/sec): 0.0982652543173


Iteration: 47, reward: -10.424857971051177, feedback_rate(/sec): 0.0


Iteration: 48, reward: -10.598226549753198, feedback_rate(/sec): 0.0


Iteration: 49, reward: -8.085270816241835, feedback_rate(/sec): 0.0


Iteration: 50, reward: -25.34521789380607, feedback_rate(/sec): 0.248216893964

