iteration,total_reward,policy_loss,idm_loss
1 , 862.4677648629869 , 0.069225915 , 0.0111822765
2 , 796.7504907494026 , 0.049023133 , 0.0018360638
3 , 794.4949394143231 , 0.021531133 , 0.002517438
4 , 999.0612908458686 , 0.020213634 , 0.0034222063
5 , 859.7842922906747 , 0.009913532 , 0.0023817543
6 , 1432.734551200509 , 0.018242277 , 0.008563462
7 , 222.1305608699854 , 0.024924917 , 0.0038372325
8 , 219.63211221771599 , 0.03049226 , 0.0028578131
9 , 850.0342615472429 , 0.01987008 , 0.0024191686
10 , 772.2786163330104 , 0.024711492 , 0.0014247738
11 , 365.27926060831766 , 0.017975166 , 0.0027869125
12 , 920.0349613947661 , 0.015964609 , 0.0023874787
13 , 364.52408486572426 , 0.016716005 , 0.0010097965
14 , 202.60337373788008 , 0.019302363 , 0.0029409502
15 , 357.2082558936522 , 0.02315911 , 0.0024629075
16 , 804.7797254823491 , 0.022121608 , 0.0026871474
17 , 347.4877675746644 , 0.018830104 , 0.0049505886
18 , 386.7927577380774 , 0.023669729 , 0.0019277587
19 , 811.2775060036392 , 0.019607324 , 0.002774545
20 , 690.7410891252102 , 0.010738019 , 0.003318318
21 , 716.571016019045 , 0.0139760515 , 0.008219716
22 , 679.7050161627981 , 0.01881315 , 0.0020060802
23 , 212.2879664738731 , 0.0209935 , 0.04576331
24 , 171.13073340176857 , 0.017990505 , 0.021492638
25 , 448.52850078228323 , 0.028656026 , 0.0047290055
26 , 602.3734681351822 , 0.03384508 , 0.0018158748
27 , 698.7812333194229 , 0.033917904 , 0.0023613882
28 , 613.5264885611123 , 0.02236199 , 0.002130044
29 , 675.5056298048733 , 0.017684778 , 0.0028626926
30 , 754.4294749901425 , 0.017273884 , 0.0007647115
31 , 415.14362604145833 , 0.01732144 , 0.004247293
32 , 1234.5255591527687 , 0.021493698 , 0.004607148
33 , 631.0615824357265 , 0.018121658 , 0.0048367046
34 , 527.9123146712641 , 0.02225281 , 0.0014920739
35 , 616.169884829143 , 0.02595969 , 0.005772891
36 , 655.1548408910038 , 0.041761585 , 0.0014506702
37 , 916.9182642163594 , 0.019130705 , 0.0031854426
38 , 704.6974427531684 , 0.010896092 , 0.0033182222
39 , 967.4842232972842 , 0.031235393 , 0.0022310026
40 , 628.0312049918368 , 0.018584518 , 0.0137646105
