# {"t_start": 1586104316.6417692, "env_id": "Hopper-v2"} 
r,l,t
17.696951,17,3.806085
9.389715,21,3.823878
14.18178,15,3.837401
9.280104,13,3.849745
5.737053,8,3.857044
33.255899,27,3.881419
15.243227,15,3.894825
26.785692,32,3.922793
6.15828,9,3.931556
10.228726,15,3.947401
4.990498,11,3.957268
60.93718,45,3.99554
10.488632,12,4.005606
6.529873,9,4.014431
19.440936,30,4.039163
14.278866,17,4.054244
16.844157,18,4.069585
19.310337,26,4.09467
10.725188,26,4.118814
7.368858,14,4.135508
20.027327,25,4.159848
9.772515,21,4.181856
5.356657,9,4.190288
20.5694,22,4.211242
12.328174,17,4.226655
24.118307,29,4.252504
9.236615,11,4.262946
20.793474,25,4.283221
6.613985,10,4.291103
7.841131,10,4.300029
54.955674,55,4.340826
20.222136,43,4.373209
7.471791,24,4.391284
26.362979,31,4.416186
17.49067,20,4.431026
17.375724,22,4.448901
7.466531,12,4.458143
7.18329,17,4.471769
36.517376,27,4.493346
230.975744,121,4.584778
9.092805,10,4.593263
4.405911,12,4.602803
9.308466,14,4.613977
67.042995,51,4.663455
31.39513,37,5.287435
30.089178,35,5.330743
40.307163,38,5.37735
4.486477,9,5.388739
10.919679,15,5.407642
86.276799,49,5.468323
16.727405,26,5.499574
14.378798,16,5.518451
101.734924,71,5.604829
10.558291,14,5.622564
13.835893,15,5.640594
17.241512,25,5.67037
10.816486,13,5.685857
33.75648,29,5.719228
20.201301,21,5.743079
14.896044,17,5.762177
6.48113,10,5.774175
13.536438,23,5.800864
7.395236,13,5.815458
17.320729,22,5.839988
111.10633,59,5.905719
88.152985,60,5.969234
18.948541,28,5.999964
8.550536,18,6.019885
13.213332,21,6.042107
4.280689,10,6.05289
5.302339,7,6.060343
35.461402,60,6.123875
10.634797,13,6.13752
6.999977,16,6.15511
10.297267,18,6.174441
50.061,42,6.221838
17.781548,28,6.25138
41.859205,33,6.286889
10.818735,18,6.306438
9.25389,12,6.32066
17.35163,20,6.345036
8.795089,14,6.361598
5.652205,8,6.370806
12.606167,30,6.404005
8.357336,10,6.415235
41.61809,40,6.606569
68.771576,66,6.69209
34.901575,33,6.733619
37.675834,32,6.773872
10.701333,14,6.791834
16.58451,16,6.812456
42.968482,40,6.862604
12.805987,14,6.880318
36.574135,32,6.919697
19.552327,38,6.967735
74.803964,51,7.030639
21.144796,21,7.056143
145.709044,86,7.160327
65.785832,42,7.209904
32.126401,39,7.255589
21.763347,20,7.278862
10.277291,14,7.29557
12.647494,15,7.313015
85.739005,60,7.384365
11.721909,13,7.399311
8.675709,12,7.413849
9.543993,13,7.429954
41.432382,28,7.46177
8.219292,11,7.47382
35.593189,38,7.520425
11.553936,16,7.538522
6.524286,17,7.558657
28.762961,27,7.589571
9.926512,17,7.609673
15.657691,20,7.632123
9.747318,13,7.646317
13.138614,23,7.671907
8.073628,10,7.68274
62.635559,46,7.732512
11.565905,19,7.754997
17.158324,20,7.777702
12.949145,24,8.075664
85.379999,61,8.154563
13.638216,26,8.190573
62.453163,68,8.283399
12.347034,19,8.308784
27.046489,22,8.337762
97.055687,74,8.427077
60.13365,57,8.495588
86.478579,80,8.589214
