# {"t_start": 1586114295.61758, "env_id": "LunarLanderContinuous-v2"} 
r,l,t
-48.144738,98,2.607795
-161.609681,78,2.695598
-130.402085,56,2.75451
-85.3366,71,2.841618
-76.27781,125,3.005817
46.432019,111,3.732001
-88.970825,63,3.799325
-103.872336,58,3.860734
-269.01642,91,3.966326
-245.070015,93,4.071175
-413.593958,217,4.467032
-149.000184,121,4.600019
-283.831056,114,4.735162
-267.581089,92,4.835932
-153.730227,72,4.904616
-106.531191,110,5.423379
-363.644011,145,5.608882
-144.595786,63,5.666897
-114.949169,60,5.721242
-137.656643,69,5.782943
-279.857835,106,5.966738
-55.59099,69,6.039908
-143.056674,73,6.113266
-131.798888,82,6.203461
-170.939719,127,6.398763
-292.249634,83,6.547669
-79.948348,49,6.622487
-151.172242,91,6.856225
-146.013936,73,6.947329
-48.711211,97,7.092233
-103.54726,83,7.189526
-132.608817,69,7.266585
-113.991917,83,7.371686
-316.972918,98,7.967312
-146.306848,57,8.062679
-213.329835,109,8.329423
-131.365687,71,8.441226
-150.85508,193,8.904873
-170.539315,99,9.030978
-126.136514,54,9.090478
-109.625087,55,9.151778
-104.780955,53,9.206344
-163.43138,137,9.375704
-145.155519,68,9.453833
-126.270384,58,9.613086
-112.837631,54,9.692461
-158.917038,89,9.822962
-147.338971,58,9.90283
-304.8837,101,10.078856
-93.874931,127,10.271354
-435.248576,101,10.767498
-150.151546,64,10.837731
-139.955633,91,10.941278
-348.666243,116,11.079948
-377.094779,101,11.197696
-149.578139,80,11.349251
-389.476264,119,11.49985
-119.689119,55,11.554423
-102.348072,53,11.605254
-114.935655,55,11.655318
-168.133038,64,11.713118
-220.816436,72,11.786288
-130.442464,82,11.934513
-638.08879,101,12.047832
-387.750768,79,12.130594
-116.259305,76,12.201071
-132.181403,73,12.269785
-89.466317,89,12.349001
-277.213927,90,12.741235
-177.410207,58,12.801357
-328.277051,83,12.891788
-397.990531,99,12.996861
-152.865172,63,13.05716
-173.24187,98,13.157617
-110.466175,91,13.32408
-143.015462,54,13.380287
-115.181577,52,13.433726
-96.737596,61,13.49485
-146.517861,53,13.549428
-113.644446,65,13.612657
-138.153311,65,13.676862
-108.553388,53,13.726641
-408.712901,86,13.90719
-135.05649,79,13.978758
-205.971709,63,14.040967
-483.724899,102,14.155698
-193.514176,84,14.237994
-242.115308,81,14.327053
-159.455145,152,14.83827
-419.386881,85,14.935727
-133.869283,78,15.008075
-56.025547,51,15.057397
-540.671677,124,15.194322
-176.60921,80,15.267658
-507.599333,106,15.465399
-136.382739,67,15.528404
-125.41046,53,15.579255
-130.541562,72,15.647006
-134.268877,60,15.702183
-47.170647,62,15.759662
-368.921296,85,15.847048
-470.18813,84,16.010853
-133.005773,60,16.070605
-150.293018,65,16.13034
-201.365403,63,16.198723
-115.249594,65,16.258923
-123.817297,69,16.321081
-339.475382,89,16.415251
-151.584206,67,16.810079
-145.507396,58,16.866408
-463.726805,97,16.980301
-527.841248,101,17.096539
-349.929287,78,17.175789
-466.815553,84,17.26759
-447.63845,81,17.429625
-115.535382,82,17.507803
-122.894852,58,17.563363
-165.621601,55,17.618944
-135.22978,72,17.687091
-138.312275,81,17.760911
-98.71609,81,17.833974
-240.839852,64,17.984604
-111.502047,58,18.041018
-336.581294,70,18.115333
-107.391086,61,18.173702
-119.825894,53,18.225468
-541.499164,96,18.339175
-87.787978,56,18.392622
-361.919473,86,18.822237
-162.330992,59,18.881923
-459.62735,99,19.000219
-444.237398,92,19.104887
-445.098096,80,19.19386
-217.236286,58,19.248713
-150.178792,75,19.315197
-140.472117,69,19.462211
-106.29217,54,19.514205
-334.999322,67,19.585948
-344.189501,74,19.663861
-519.954026,99,19.776854
-119.778682,70,19.843353
-92.758073,53,19.89306
-376.213831,77,20.052994
-153.229823,76,20.124975
-308.58656,68,20.196052
-439.92378,77,20.276858
-134.050281,74,20.34733
-556.007846,102,20.465933
-256.797635,69,20.887699
-88.344897,54,20.938353
-122.031883,65,21.003174
-97.251589,56,21.054945
-201.604888,59,21.116296
-129.513115,67,21.180841
-208.68189,59,21.240148
-120.545286,88,21.319796
-129.184988,60,21.477112
-107.907008,54,21.530053
-534.625956,94,21.642339
-33.362743,74,21.715147
-509.919873,82,21.802198
-477.001163,93,21.908314
-531.497204,101,22.126434
-250.522748,62,22.19111
-475.396287,78,22.283525
-146.160769,50,22.331304
-135.153039,86,22.408808
-151.780225,59,22.465133
-133.557961,57,22.519042
-393.183162,94,22.957129
-286.133628,56,23.016319
-146.733984,59,23.075773
-157.104062,52,23.127827
-284.61172,64,23.192137
-326.873239,72,23.266415
-521.127036,88,23.365282
-206.631239,62,23.426369
-137.392423,53,23.573688
-96.631816,53,23.62638
-412.703485,71,23.704023
-220.722506,52,23.758757
-118.3958,76,23.832199
-429.785732,75,23.910684
-273.984403,56,23.968756
-184.72337,66,24.036924
-122.7851,70,24.193062
-388.346667,75,24.280812
-430.299355,83,24.376751
-497.688532,90,24.473891
-159.50712,61,24.533116
-233.952071,54,24.588239
-265.418802,73,24.661497
-384.020286,94,25.197359
-320.49759,76,25.278423
-309.197675,59,25.338489
-384.952551,143,25.502906
-100.133696,52,25.550119
-140.829473,70,25.612726
-489.363134,85,25.782897
-152.273982,58,25.842503
-33.771994,69,25.91279
-176.94368,65,25.981592
-143.578441,51,26.033435
-84.38793,57,26.087657
-341.815263,113,26.21078
-440.247223,91,26.407379
-566.517541,121,26.550329
-177.217244,55,26.604893
-140.611959,57,26.658249
-268.701054,70,26.730601
-538.411457,100,26.84016
-128.312603,62,27.251312
-595.028369,87,27.354874
-125.222243,67,27.420562
-316.84637,66,27.48721
-178.648417,66,27.550295
-456.895388,97,27.664701
-122.641787,57,27.715502
-247.962831,56,27.841186
-576.967256,172,28.066655
-169.924609,66,28.129661
18.892968,92,28.230455
-586.445181,127,28.372421
-486.211592,71,28.512548
-137.904673,62,28.572946
-637.475589,109,28.695821
-418.683583,56,28.75701
-374.700566,60,28.821244
-139.129501,65,28.879962
-533.685633,78,28.962262
-133.054066,63,29.394455
-225.249219,55,29.455246
-468.299521,135,29.621011
-436.471196,95,29.72523
-516.051756,75,29.802794
-580.754565,77,29.883993
-259.245817,68,30.034729
-523.963845,145,30.222346
-576.881381,81,30.320776
-492.276821,135,30.480169
-661.62457,148,30.738046
-662.39699,84,30.830756
-636.623747,112,30.970006
-496.345964,71,31.043266
-599.016247,87,31.147784
4.272124,96,31.606012
-209.961781,65,31.675124
-394.510634,56,31.736648
-245.440038,60,31.799581
-313.88699,69,31.871112
-144.243207,57,31.929281
-372.418285,80,32.007818
-613.81689,116,32.228026
37.049434,57,32.288884
-632.27053,105,32.424704
-490.054543,60,32.491719
-530.518221,87,32.587296
-399.4225,69,32.660199
-735.371226,101,32.769914
-137.72002,62,32.894708
-584.723004,101,33.009925
12.248694,63,33.075435
33.377569,63,33.137749
-577.380974,139,33.300951
-422.230353,78,33.380876
-505.799698,78,33.820864
