iteration,average_reward,policy_loss,fdm_loss
1 , 15.555556 , 0.688671 , 0.005675
2 , 15.666667 , 0.827617 , 0.000364
3 , 15.444444 , 0.719403 , 0.000901
4 , 15.888889 , 0.740428 , 0.000248
5 , 15.777778 , 0.648992 , 0.004441
6 , 158.222222 , 0.591211 , 0.002118
7 , 196.666667 , 0.610391 , 0.001424
8 , 167.444444 , 0.630860 , 0.000542
9 , 90.666667 , 0.627370 , 0.000753
10 , 200.000000 , 0.617244 , 0.000171
11 , 197.666667 , 0.608611 , 0.000221
12 , 200.000000 , 0.713668 , 0.000120
13 , 200.000000 , 0.546596 , 0.000147
