iteration,average_reward,policy_loss,fdm_loss
1 , -328.593982 , 0.734750 , 0.005469
2 , -281.200411 , 0.773181 , 0.006029
3 , -232.142293 , 0.752834 , 0.006628
4 , -159.837494 , 0.868662 , 0.008950
5 , -126.196368 , 0.733894 , 0.005814
6 , 57.454759 , 0.866182 , 0.008533
7 , -92.587755 , 0.903621 , 0.004127
8 , 30.952132 , 0.818988 , 0.005802
9 , 135.110635 , 0.837365 , 0.007893
10 , 14.778344 , 0.833668 , 0.005670
11 , 80.349981 , 0.835553 , 0.010569
12 , 82.838552 , 0.921152 , 0.004904
13 , 191.356645 , 0.790674 , 0.004538
14 , 96.777819 , 0.826977 , 0.003138
15 , 171.440535 , 0.834768 , 0.004422
16 , 149.975829 , 0.709862 , 0.003218
17 , 222.261073 , 0.772762 , 0.008027
18 , -77.236953 , 0.811257 , 0.004064
19 , 183.605145 , 0.746803 , 0.003340
20 , 143.149831 , 0.782993 , 0.003639
21 , -56.999154 , 0.688953 , 0.005654
22 , -157.787878 , 0.670487 , 0.004980
23 , 90.614453 , 0.684820 , 0.005524
24 , 22.200894 , 0.680575 , 0.005041
25 , -141.131996 , 0.707288 , 0.005537
26 , -129.758783 , 0.697552 , 0.004896
27 , -55.579228 , 0.632915 , 0.003395
28 , 16.078595 , 0.574229 , 0.003662
29 , 22.862502 , 0.457532 , 0.003810
30 , 101.341351 , 0.694937 , 0.003313
31 , 103.329608 , 0.804131 , 0.003080
32 , 168.157669 , 0.882493 , 0.002985
33 , 80.233065 , 0.729182 , 0.002814
34 , 125.481217 , 0.818710 , 0.002988
35 , 85.279100 , 0.852300 , 0.004129
36 , 42.676196 , 0.699706 , 0.003589
37 , 32.816640 , 0.661808 , 0.002447
38 , -38.714632 , 0.599239 , 0.004216
39 , -72.496338 , 0.554434 , 0.002751
40 , 95.075574 , 0.521952 , 0.004399
41 , 145.107333 , 0.584747 , 0.004509
42 , 125.509708 , 0.585726 , 0.004509
43 , 208.896421 , 0.623170 , 0.003978
44 , 182.912192 , 0.550351 , 0.004409
45 , 154.400143 , 0.609433 , 0.003164
46 , 138.323454 , 0.853233 , 0.003838
47 , 190.354899 , 0.801038 , 0.003998
48 , 80.795557 , 0.578930 , 0.004194
49 , 183.773907 , 0.567230 , 0.004427
50 , 179.821004 , 0.566968 , 0.005594
