Collecting dynamics training data 1000
Collecting dynamics training data 2000
Collecting dynamics training data 3000
Collecting dynamics training data 4000
Collecting dynamics training data 5000
Collecting dynamics training data 6000
Collecting dynamics training data 7000
Collecting dynamics training data 8000
Collecting dynamics training data 9000
Collecting dynamics training data 10000
FDM train: iteration: 500, fdm_loss: 0.016091
FDM train: iteration: 1000, fdm_loss: 0.009751
FDM train: iteration: 1500, fdm_loss: 0.005102
FDM train: iteration: 2000, fdm_loss: 0.004526
FDM train: iteration: 2500, fdm_loss: 0.011095
FDM train: iteration: 3000, fdm_loss: 0.010222
FDM train: iteration: 3500, fdm_loss: 0.005599
FDM train: iteration: 4000, fdm_loss: 0.006680
FDM train: iteration: 4500, fdm_loss: 0.009019
FDM train: iteration: 5000, fdm_loss: 0.010282
Policy train: iteration: 500, policy_loss: 0.249791
Policy train: iteration: 1000, policy_loss: 0.241157
Policy train: iteration: 1500, policy_loss: 0.195260
Policy train: iteration: 2000, policy_loss: 0.088704
Policy train: iteration: 2500, policy_loss: 0.171910
Policy train: iteration: 3000, policy_loss: 0.161563
Policy train: iteration: 3500, policy_loss: 0.191972
Policy train: iteration: 4000, policy_loss: 0.195598
Policy train: iteration: 4500, policy_loss: 0.120798
Policy train: iteration: 5000, policy_loss: 0.237492
