iteration,average_reward,feedback_rate
1 , -115.319661 , 0.829268
2 , -128.267246 , 0.744681
3 , -95.346301 , 0.713115
4 , -91.565491 , 0.566265
5 , -216.999018 , 0.566667
6 , -195.417997 , 0.531915
7 , -200.012000 , 0.364964
8 , -203.655631 , 0.449057
9 , -166.441393 , 0.246479
10 , -146.954656 , 0.144444
11 , -253.792730 , 0.117978
12 , -152.223606 , 0.266272
13 , -279.424214 , 0.130573
14 , -128.884829 , 0.302941
15 , -116.311119 , 0.130597
16 , -175.287831 , 0.204013
17 , -131.858247 , 0.260073
18 , -134.594071 , 0.273810
19 , -231.672884 , 0.506073
20 , -324.367063 , 0.334646
21 , -54.748213 , 0.383704
22 , -152.772186 , 0.137931
23 , -247.992177 , 0.469880
24 , -148.403771 , 0.267483
25 , -268.037974 , 0.376900
26 , -140.733260 , 0.241090
27 , -54.553804 , 0.250000
28 , -127.363435 , 0.380184
29 , -191.428627 , 0.319838
30 , -120.614283 , 0.389503
31 , -153.286963 , 0.358537
32 , -563.021863 , 0.413534
33 , -75.760618 , 0.559524
34 , -47.865167 , 0.140704
35 , -108.587401 , 0.400000
36 , -234.338288 , 0.182266
37 , -116.347347 , 0.118182
38 , -163.087885 , 0.377778
39 , -52.503525 , 0.356421
40 , -62.711808 , 0.051447
41 , -148.462156 , 0.000000
