iteration,reward,average_reward
1 , -118.3 , -118.3
2 , -233.8 , -176.0
3 , -322.5 , -224.9
4 , -343.0 , -254.4
5 , -428.9 , -289.3
6 , -211.0 , -276.2
7 , -14.2 , -238.8
8 , -268.0 , -242.5
9 , -243.6 , -242.6
10 , -361.6 , -254.5
11 , -226.9 , -252.0
12 , -122.7 , -241.2
13 , -11.7 , -223.6
14 , 265.5 , -188.6
15 , -343.4 , -198.9
16 , -627.6 , -225.7
17 , -230.6 , -226.0
18 , -102.2 , -219.1
19 , -189.3 , -217.6
20 , -178.0 , -215.6
21 , -165.9 , -213.2
22 , -186.4 , -212.0
23 , 267.5 , -191.2
