iteration,reward,average_reward
1 , -139.6 , -139.6
2 , -106.2 , -122.9
3 , -139.5 , -128.4
4 , -116.4 , -125.4
5 ,  11.3 , -98.1
6 , -32.0 , -87.1
7 ,  54.0 , -66.9
8 , -144.5 , -76.6
9 , -261.4 , -97.1
10 , -26.8 , -90.1
11 , -66.8 , -88.0
12 , 255.2 , -59.4
13 , -103.6 , -62.8
14 , -419.0 , -88.2
15 , -426.3 , -110.8
16 , -406.6 , -129.3
17 , -163.5 , -131.3
18 , -57.0 , -127.2
19 , -30.1 , -122.0
20 ,  -0.8 , -116.0
21 , -85.0 , -114.5
22 , 185.6 , -100.9
23 , -121.2 , -101.7
24 , -273.9 , -108.9
25 , -147.3 , -110.5
26 , -263.4 , -116.3
27 , -311.6 , -123.6
28 , -207.9 , -126.6
29 , -234.1 , -130.3
30 , 295.4 , -116.1
31 , -287.1 , -121.6
32 , -232.0 , -125.1
33 , -23.9 , -122.0
34 ,  -9.3 , -118.7
35 , -275.4 , -123.2
36 , 189.6 , -114.5
37 , -123.1 , -114.7
38 , -130.9 , -115.1
39 , -84.6 , -114.3
40 , -125.6 , -114.6
41 , -74.1 , -113.6
42 , -29.9 , -111.6
43 , -181.5 , -113.3
44 , -31.2 , -111.4
