optimgain,entropy,entloss,EpLenMean,surrgain,TimestepsSoFar,meankl,EpTrueRewMean,EpThisIter,TimeElapsed,explained_variance_tdlam_before,EpRewMean,EpisodesSoFar
0.019479714,0.6535337,0.0,41.28,0.019479714,1024,0.007142457,41.28,25,2.438359498977661,-0.06578314304351807,30.438265,25
0.0119850105,0.6076001,0.0,51.3,0.0119850105,2048,0.01063231,51.3,15,5.135104656219482,-0.3834575414657593,37.266888,40
0.017843783,0.6035543,0.0,65.05,0.017843783,3072,0.00787484,65.05,11,9.1079421043396,-0.27135491371154785,48.88255,51
0.02619138,0.5812305,0.0,79.9,0.02619138,4096,0.012238582,79.9,10,12.306638956069946,0.2317291498184204,59.45536,61
0.011013357,0.58757496,0.0,94.725,0.011013357,5120,0.002764911,94.725,9,15.651816368103027,0.09516501426696777,71.03301,70
0.016598117,0.6140534,0.0,110.925,0.016598117,6144,0.011341419,110.925,6,18.165493965148926,-0.08832132816314697,82.84123,76
0.033801235,0.61709476,0.0,120.775,0.033801235,7168,0.011752686,120.775,6,20.940725803375244,-0.06512904167175293,89.39589,82
0.022487257,0.6013983,0.0,132.325,0.022487257,8192,0.006674772,132.325,6,25.52075982093811,-0.01643240451812744,96.25541,88
0.013093021,0.5980437,0.0,145.075,0.013093021,9216,0.00427963,145.075,6,29.10481357574463,-0.016229867935180664,103.75627,94
0.02207316,0.5757186,0.0,151.575,0.02207316,10240,0.008965103,151.575,6,32.91730046272278,0.01785445213317871,107.45732,100
0.013280932,0.60227084,0.0,157.45,0.013280932,11264,0.0020403455,157.45,7,35.95028376579285,-0.014784455299377441,108.31637,107
0.036000896,0.5653722,0.0,158.625,0.036000896,12288,0.011181125,158.625,7,38.89148259162903,0.1131179928779602,105.87695,114
0.008839079,0.60361093,0.0,157.3,0.008839079,13312,0.0025773838,157.3,7,41.32423782348633,0.006927371025085449,102.06456,121
0.009887708,0.5957985,0.0,158.475,0.009887708,14336,0.0053663924,158.475,5,43.95331525802612,0.19277679920196533,100.300644,126
0.008291125,0.5872987,0.0,155.1,0.008291125,15360,0.0038170642,155.1,7,46.84282040596008,0.007315933704376221,94.95575,133
0.01582926,0.5830114,0.0,161.225,0.01582926,16384,0.007931011,161.225,5,49.29005694389343,0.2421817183494568,96.577484,138
0.012509973,0.5541082,0.0,164.45,0.012509973,17408,0.009280952,164.45,6,52.72886848449707,0.37412554025650024,96.515816,144
0.015075689,0.57336676,0.0,172.2,0.015075689,18432,0.008174576,172.2,5,56.478973627090454,0.48156821727752686,99.67872,149
0.030994639,0.5695446,0.0,174.2,0.030994639,19456,0.009946663,174.2,6,60.44478464126587,0.4741916060447693,100.40293,155
0.01907356,0.5918119,0.0,179.425,0.01907356,20480,0.009032737,179.425,5,62.778716802597046,0.1334768533706665,103.498024,160
0.01602278,0.57948387,0.0,180.225,0.01602278,21504,0.008394317,180.225,5,64.92207503318787,0.09572428464889526,104.94602,165
0.01737146,0.5189649,0.0,186.125,0.01737146,22528,0.008357862,186.125,6,67.07520627975464,0.4724768400192261,109.21361,171
0.019053385,0.5714901,0.0,188.4,0.019053385,23552,0.0070073437,188.4,5,69.27725839614868,0.011989355087280273,111.3289,176
0.016986,0.55242676,0.0,190.725,0.016986,24576,0.007516834,190.725,5,71.4528386592865,0.1278110146522522,112.47392,181
0.008652311,0.58944404,0.0,191.65,0.008652311,25600,0.009883421,191.65,5,73.67928624153137,-0.003492593765258789,112.94011,186
0.01688191,0.51887536,0.0,193.725,0.01688191,26624,0.009151446,193.725,6,75.85358119010925,0.09857898950576782,115.33864,192
0.011330391,0.5620965,0.0,195.7,0.011330391,27648,0.008744574,195.7,5,78.02340459823608,-0.04829216003417969,116.20852,197
0.015967458,0.5361433,0.0,195.9,0.015967458,28672,0.008479168,195.9,5,80.17189407348633,0.14645743370056152,116.43413,202
0.02626963,0.5414121,0.0,194.225,0.02626963,29696,0.009961348,194.225,5,82.34246349334717,0.052277445793151855,117.07776,207
