EpRewMean,entloss,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,surrgain,EpThisIter,entropy,meankl,EpLenMean,optimgain,explained_variance_tdlam_before
355.1975,0.0,-604.513006137684,2,2.6540699005126953,1024,0.015718896,2,2.8455405,0.0033906954,490.0,0.015718896,-0.10177779197692871
355.29822,0.0,-611.5552023975179,4,5.2381203174591064,2048,0.022534968,2,2.8597386,0.003445205,490.0,0.022534968,0.05809146165847778
351.50455,0.0,-610.4668981923411,6,8.537856101989746,3072,0.0053092325,2,2.8452737,0.0014709247,490.0,0.0053092325,-0.004645824432373047
342.70728,0.0,-615.6883564761115,9,11.877683877944946,4096,0.021124937,3,2.8410442,0.007886063,490.0,0.021124937,-0.5845116376876831
338.3456,0.0,-615.1380949917842,11,16.297561645507812,5120,0.012752588,2,2.8345034,0.0051935567,490.0,0.012752588,-0.2494344711303711
330.58636,0.0,-615.8149026021935,13,19.97838544845581,6144,0.010274499,2,2.815987,0.0014687062,490.0,0.010274499,-0.2867530584335327
324.5462,0.0,-616.4467211253941,15,23.13927459716797,7168,0.014368519,2,2.8306797,0.0071349815,490.0,0.014368519,-0.034519195556640625
320.663,0.0,-614.4526966580135,17,26.17914867401123,8192,0.011389643,2,2.8324997,0.005925487,490.0,0.011389643,-0.012605428695678711
317.37704,0.0,-614.3359777396055,19,28.7494375705719,9216,0.030080795,2,2.8055394,0.009360001,490.0,0.030080795,-0.8200470209121704
312.18674,0.0,-615.8219548022108,21,31.331482648849487,10240,0.01778315,2,2.8087552,0.003352063,490.0,0.01778315,-0.048190951347351074
308.80594,0.0,-615.7923339867722,23,33.939831495285034,11264,0.021324739,2,2.7933047,0.0028514091,490.0,0.021324739,-0.563701868057251
303.87677,0.0,-614.8661318644881,25,36.5121283531189,12288,0.012207386,2,2.7795079,0.0047758585,490.0,0.012207386,-0.0850672721862793
298.83496,0.0,-615.7451361652326,27,39.18055820465088,13312,0.010749389,2,2.8146164,0.008609882,490.0,0.010749389,-0.005360245704650879
294.0896,0.0,-616.2719413214203,29,42.256139039993286,14336,0.032951083,2,2.814881,0.012658206,490.0,0.032951083,-0.048487305641174316
286.9992,0.0,-616.3885039811721,32,45.93898034095764,15360,0.014606301,3,2.829623,0.0031774386,490.0,0.014606301,0.0001456737518310547
282.2366,0.0,-616.588829478249,34,50.32863116264343,16384,0.022384912,2,2.809531,0.01416002,490.0,0.022384912,0.0154837965965271
275.77527,0.0,-616.7639493167194,36,53.748753786087036,17408,0.011881027,2,2.817599,0.002984237,490.0,0.011881027,-0.006414532661437988
269.92764,0.0,-616.9755784990756,38,56.329853534698486,18432,0.011934501,2,2.8634312,0.004366505,490.0,0.011934501,-0.030362367630004883
266.12173,0.0,-617.1546605966985,40,58.97137665748596,19456,0.014081794,2,2.8147082,0.0033559161,490.0,0.014081794,-0.1872338056564331
260.48328,0.0,-619.0641578561626,42,61.56669497489929,20480,0.01255825,2,2.8138733,0.00333273,490.0,0.01255825,-0.034549713134765625
256.71005,0.0,-620.3078351282514,44,64.19480180740356,21504,0.01931762,2,2.801605,0.0026322901,490.0,0.01931762,-0.05931496620178223
253.96565,0.0,-622.7536182487383,46,66.88084006309509,22528,0.02064472,2,2.8114235,0.0032001017,490.0,0.02064472,-0.028180599212646484
256.9576,0.0,-624.5453725125641,48,69.43521356582642,23552,0.031500023,2,2.8177192,0.010300144,490.0,0.031500023,-0.0008211135864257812
262.00552,0.0,-626.7921265218407,50,72.04727983474731,24576,0.035542518,2,2.7924507,0.0116920015,490.0,0.035542518,0.003708362579345703
265.29822,0.0,-628.3573650375008,52,74.62746334075928,25600,0.04044631,2,2.7980456,0.0141866915,490.0,0.04044631,0.0025461912155151367
279.68906,0.0,-629.7469601858407,55,77.37481021881104,26624,0.01817628,3,2.8094375,0.0030469177,490.0,0.01817628,2.0205974578857422e-05
293.86673,0.0,-633.3233699106611,57,80.47069811820984,27648,0.022808328,2,2.784179,0.003570041,490.0,0.022808328,0.0038973093032836914
303.61725,0.0,-635.3625032117591,59,83.03613305091858,28672,0.038801447,2,2.7845562,0.014135691,490.0,0.038801447,0.013052225112915039
309.496,0.0,-637.4128226080909,61,85.59485101699829,29696,0.035589535,2,2.7795825,0.011496659,490.0,0.035589535,0.10621756315231323
341.8194,0.0,-641.5383622647263,64,88.19263005256653,30720,0.033033106,3,2.7811282,0.012079097,490.0,0.033033106,0.0027541518211364746
360.76553,0.0,-644.4791479485109,66,90.76586413383484,31744,0.040552504,2,2.801473,0.0128695145,490.0,0.040552504,0.015405416488647461
384.29254,0.0,-647.1328416332602,68,93.41146683692932,32768,0.03493296,2,2.7853677,0.0124966595,490.0,0.03493296,0.009253442287445068
409.4298,0.0,-650.037229327485,70,96.03923177719116,33792,0.02483726,2,2.7784145,0.008404052,490.0,0.02483726,0.00011867284774780273
423.133,0.0,-652.3888377180323,72,98.64585590362549,34816,0.03819202,2,2.7416797,0.012116861,490.0,0.03819202,0.05103510618209839
440.50513,0.0,-654.8867049574852,74,101.23135042190552,35840,0.041362517,2,2.7420652,0.011985951,490.0,0.041362517,0.10287243127822876
468.5367,0.0,-656.3053721844684,76,103.9519681930542,36864,0.039052512,2,2.7473152,0.012759175,490.0,0.039052512,0.03728890419006348
485.97607,0.0,-659.6026709312107,78,106.53920316696167,37888,0.035931107,2,2.7486372,0.013080892,490.0,0.035931107,0.018555879592895508
509.07755,0.0,-661.6664352315013,80,109.12735724449158,38912,0.034439802,2,2.7318332,0.01110578,490.0,0.034439802,-5.257129669189453e-05
522.3664,0.0,-664.4069839186501,82,111.72705292701721,39936,0.041359406,2,2.7079268,0.013330119,490.0,0.041359406,0.022080540657043457
541.9424,0.0,-665.0142469321843,84,114.34473037719727,40960,0.034452807,2,2.7219934,0.012737438,490.0,0.034452807,0.009813129901885986
562.7948,0.0,-664.1874560589437,87,116.91926503181458,41984,0.039176937,3,2.7590435,0.011331508,490.0,0.039176937,0.016774356365203857
573.9313,0.0,-664.8958231142257,89,119.86710453033447,43008,0.02826919,2,2.7559116,0.009429296,490.0,0.02826919,0.00033032894134521484
581.577,0.0,-666.5924577204045,91,122.95843958854675,44032,0.034852177,2,2.759441,0.009918239,490.0,0.034852177,0.06570082902908325
589.42126,0.0,-667.8670573671349,93,125.67350649833679,45056,0.030400196,2,2.7607725,0.010348981,490.0,0.030400196,-7.069110870361328e-05
593.6251,0.0,-668.1353012557141,95,128.53723621368408,46080,0.034878172,2,2.7449558,0.013586357,490.0,0.034878172,0.0011377930641174316
592.9686,0.0,-666.8863038051874,97,131.59273433685303,47104,0.027886309,2,2.748841,0.010718291,490.0,0.027886309,0.0005418658256530762
595.65,0.0,-666.6303696339019,99,134.89464831352234,48128,0.031527914,2,2.753906,0.00973223,490.0,0.031527914,0.0009952783584594727
602.6981,0.0,-666.0263733159751,101,138.05740666389465,49152,0.03692396,2,2.735288,0.0132602025,490.0,0.03692396,-0.0002086162567138672
591.20123,0.0,-666.4391336785629,103,141.17813324928284,50176,0.026137225,2,2.7347114,0.012370989,490.0,0.026137225,-6.830692291259766e-05
584.74304,0.0,-665.7288299477659,105,144.9293532371521,51200,0.031534426,2,2.7309675,0.008735543,490.0,0.031534426,0.00016325712203979492
570.3187,0.0,-665.0736449114978,107,148.13813185691833,52224,0.04052151,2,2.7222874,0.0112517,490.0,0.04052151,-0.00025534629821777344
548.44257,0.0,-662.295332445763,110,150.69377541542053,53248,0.034185298,3,2.7014153,0.013141633,490.0,0.034185298,-0.0004993677139282227
544.65906,0.0,-661.1732279507444,112,153.2364547252655,54272,0.033359416,2,2.7087493,0.012922842,490.0,0.033359416,0.004397034645080566
536.3602,0.0,-659.8363172993064,114,155.79136109352112,55296,0.041174658,2,2.702066,0.011826886,490.0,0.041174658,0.05268251895904541
